/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[ablate] mode=fixed_tau seed=99 dataset=arxiv task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (169343 nodes) → mini-batch sampler fanout=[20, 20]

[KAIROS] Backbone: gcn
Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 70.1386 | KOOP 0.0000 | τ 0.5000 | Total 70.1386
Epoch 00001 | NCE 67.5476 | KOOP 0.0000 | τ 0.5000 | Total 67.5476
Epoch 00002 | NCE 65.9481 | KOOP 0.0000 | τ 0.5000 | Total 65.9481
Epoch 00003 | NCE 65.0372 | KOOP 0.0000 | τ 0.5000 | Total 65.0372
Epoch 00004 | NCE 64.4120 | KOOP 0.0000 | τ 0.5000 | Total 64.4120
Epoch 00005 | NCE 63.9695 | KOOP 0.0000 | τ 0.5000 | Total 63.9695
Epoch 00006 | NCE 63.4887 | KOOP 0.0000 | τ 0.5000 | Total 63.4887
Epoch 00007 | NCE 62.9576 | KOOP 0.0000 | τ 0.5000 | Total 62.9576
Epoch 00008 | NCE 62.5070 | KOOP 0.0000 | τ 0.5000 | Total 62.5070
Epoch 00009 | NCE 62.1750 | KOOP 0.0000 | τ 0.5000 | Total 62.1750
Epoch 00010 | NCE 61.5843 | KOOP 0.0000 | τ 0.5000 | Total 61.5843
Epoch 00011 | NCE 61.0387 | KOOP 0.0000 | τ 0.5000 | Total 61.0387
Epoch 00012 | NCE 60.6712 | KOOP 0.0000 | τ 0.5000 | Total 60.6712
Epoch 00013 | NCE 60.5113 | KOOP 0.0000 | τ 0.5000 | Total 60.5113
Epoch 00014 | NCE 59.9165 | KOOP 0.0000 | τ 0.5000 | Total 59.9165
Epoch 00015 | NCE 59.7449 | KOOP 0.0000 | τ 0.5000 | Total 59.7449
Epoch 00016 | NCE 59.4038 | KOOP 0.0000 | τ 0.5000 | Total 59.4038
Epoch 00017 | NCE 59.3358 | KOOP 0.0000 | τ 0.5000 | Total 59.3358
Epoch 00018 | NCE 59.1286 | KOOP 0.0000 | τ 0.5000 | Total 59.1286
Epoch 00019 | NCE 58.9003 | KOOP 0.0000 | τ 0.5000 | Total 58.9003
Epoch 00020 | NCE 58.7616 | KOOP 0.0000 | τ 0.5000 | Total 58.7616
Epoch 00021 | NCE 58.4915 | KOOP 0.0000 | τ 0.5000 | Total 58.4915
Epoch 00022 | NCE 58.5016 | KOOP 0.0000 | τ 0.5000 | Total 58.5016
Epoch 00023 | NCE 58.2190 | KOOP 0.0000 | τ 0.5000 | Total 58.2190
Epoch 00024 | NCE 58.2217 | KOOP 0.0000 | τ 0.5000 | Total 58.2217
Epoch 00025 | NCE 58.0802 | KOOP 0.0000 | τ 0.5000 | Total 58.0802
Epoch 00026 | NCE 58.0297 | KOOP 0.0000 | τ 0.5000 | Total 58.0297
Epoch 00027 | NCE 57.8063 | KOOP 0.0000 | τ 0.5000 | Total 57.8063
Epoch 00028 | NCE 57.7949 | KOOP 0.0000 | τ 0.5000 | Total 57.7949
Epoch 00029 | NCE 57.6380 | KOOP 0.0000 | τ 0.5000 | Total 57.6380
Epoch 00030 | NCE 57.5695 | KOOP 0.0000 | τ 0.5000 | Total 57.5695
Epoch 00031 | NCE 57.4759 | KOOP 0.0000 | τ 0.5000 | Total 57.4759
Epoch 00032 | NCE 57.4891 | KOOP 0.0000 | τ 0.5000 | Total 57.4891
Epoch 00033 | NCE 57.3652 | KOOP 0.0000 | τ 0.5000 | Total 57.3652
Epoch 00034 | NCE 57.3840 | KOOP 0.0000 | τ 0.5000 | Total 57.3840
Epoch 00035 | NCE 57.3318 | KOOP 0.0000 | τ 0.5000 | Total 57.3318
Epoch 00036 | NCE 57.2916 | KOOP 0.0000 | τ 0.5000 | Total 57.2916
Epoch 00037 | NCE 57.2474 | KOOP 0.0000 | τ 0.5000 | Total 57.2474
Epoch 00038 | NCE 57.1253 | KOOP 0.0000 | τ 0.5000 | Total 57.1253
Epoch 00039 | NCE 57.1286 | KOOP 0.0000 | τ 0.5000 | Total 57.1286
Epoch 00040 | NCE 57.0567 | KOOP 0.0000 | τ 0.5000 | Total 57.0567
Epoch 00041 | NCE 57.0817 | KOOP 0.0000 | τ 0.5000 | Total 57.0817
Epoch 00042 | NCE 56.9112 | KOOP 0.0000 | τ 0.5000 | Total 56.9112
Epoch 00043 | NCE 56.9365 | KOOP 0.0000 | τ 0.5000 | Total 56.9365
Epoch 00044 | NCE 56.8652 | KOOP 0.0000 | τ 0.5000 | Total 56.8652
Epoch 00045 | NCE 56.8474 | KOOP 0.0000 | τ 0.5000 | Total 56.8474
Epoch 00046 | NCE 56.8183 | KOOP 0.0000 | τ 0.5000 | Total 56.8183
Epoch 00047 | NCE 56.8266 | KOOP 0.0000 | τ 0.5000 | Total 56.8266
Epoch 00048 | NCE 56.7675 | KOOP 0.0000 | τ 0.5000 | Total 56.7675
Epoch 00049 | NCE 56.7187 | KOOP 0.0000 | τ 0.5000 | Total 56.7187
Epoch 00050 | NCE 56.6640 | KOOP 0.0000 | τ 0.5000 | Total 56.6640
Epoch 00051 | NCE 56.6615 | KOOP 0.0000 | τ 0.5000 | Total 56.6615
Epoch 00052 | NCE 56.6614 | KOOP 0.0000 | τ 0.5000 | Total 56.6614
Epoch 00053 | NCE 56.6235 | KOOP 0.0000 | τ 0.5000 | Total 56.6235
Epoch 00054 | NCE 56.6326 | KOOP 0.0000 | τ 0.5000 | Total 56.6326
Epoch 00055 | NCE 56.5831 | KOOP 0.0000 | τ 0.5000 | Total 56.5831
Epoch 00056 | NCE 56.6000 | KOOP 0.0000 | τ 0.5000 | Total 56.6000
Epoch 00057 | NCE 56.5526 | KOOP 0.0000 | τ 0.5000 | Total 56.5526
Epoch 00058 | NCE 56.5121 | KOOP 0.0000 | τ 0.5000 | Total 56.5121
Epoch 00059 | NCE 56.4690 | KOOP 0.0000 | τ 0.5000 | Total 56.4690
Epoch 00060 | NCE 56.4615 | KOOP 0.0000 | τ 0.5000 | Total 56.4615
Epoch 00061 | NCE 56.4080 | KOOP 0.0000 | τ 0.5000 | Total 56.4080
Epoch 00062 | NCE 56.3532 | KOOP 0.0000 | τ 0.5000 | Total 56.3532
Epoch 00063 | NCE 56.4253 | KOOP 0.0000 | τ 0.5000 | Total 56.4253
Epoch 00064 | NCE 56.2945 | KOOP 0.0000 | τ 0.5000 | Total 56.2945
Epoch 00065 | NCE 56.2477 | KOOP 0.0000 | τ 0.5000 | Total 56.2477
Epoch 00066 | NCE 56.2708 | KOOP 0.0000 | τ 0.5000 | Total 56.2708
Epoch 00067 | NCE 56.2854 | KOOP 0.0000 | τ 0.5000 | Total 56.2854
Epoch 00068 | NCE 56.1900 | KOOP 0.0000 | τ 0.5000 | Total 56.1900
Epoch 00069 | NCE 56.1732 | KOOP 0.0000 | τ 0.5000 | Total 56.1732
Epoch 00070 | NCE 56.1203 | KOOP 0.0000 | τ 0.5000 | Total 56.1203
Epoch 00071 | NCE 56.0968 | KOOP 0.0000 | τ 0.5000 | Total 56.0968
Epoch 00072 | NCE 56.1451 | KOOP 0.0000 | τ 0.5000 | Total 56.1451
Epoch 00073 | NCE 56.0777 | KOOP 0.0000 | τ 0.5000 | Total 56.0777
Epoch 00074 | NCE 56.0335 | KOOP 0.0000 | τ 0.5000 | Total 56.0335
Epoch 00075 | NCE 56.0326 | KOOP 0.0000 | τ 0.5000 | Total 56.0326
Epoch 00076 | NCE 55.9943 | KOOP 0.0000 | τ 0.5000 | Total 55.9943
Epoch 00077 | NCE 56.0322 | KOOP 0.0000 | τ 0.5000 | Total 56.0322
Epoch 00078 | NCE 55.9378 | KOOP 0.0000 | τ 0.5000 | Total 55.9378
Epoch 00079 | NCE 55.9230 | KOOP 0.0000 | τ 0.5000 | Total 55.9230
Epoch 00080 | NCE 55.9322 | KOOP 0.0000 | τ 0.5000 | Total 55.9322
Epoch 00081 | NCE 55.8842 | KOOP 0.0000 | τ 0.5000 | Total 55.8842
Epoch 00082 | NCE 55.8842 | KOOP 0.0000 | τ 0.5000 | Total 55.8842
Epoch 00083 | NCE 55.8764 | KOOP 0.0000 | τ 0.5000 | Total 55.8764
Epoch 00084 | NCE 55.8208 | KOOP 0.0000 | τ 0.5000 | Total 55.8208
Epoch 00085 | NCE 55.8343 | KOOP 0.0000 | τ 0.5000 | Total 55.8343
Epoch 00086 | NCE 55.8470 | KOOP 0.0000 | τ 0.5000 | Total 55.8470
Epoch 00087 | NCE 55.7302 | KOOP 0.0000 | τ 0.5000 | Total 55.7302
Epoch 00088 | NCE 55.7567 | KOOP 0.0000 | τ 0.5000 | Total 55.7567
Epoch 00089 | NCE 55.7702 | KOOP 0.0000 | τ 0.5000 | Total 55.7702
Epoch 00090 | NCE 55.7528 | KOOP 0.0000 | τ 0.5000 | Total 55.7528
Epoch 00091 | NCE 55.7398 | KOOP 0.0000 | τ 0.5000 | Total 55.7398
Epoch 00092 | NCE 55.7062 | KOOP 0.0000 | τ 0.5000 | Total 55.7062
Epoch 00093 | NCE 55.6858 | KOOP 0.0000 | τ 0.5000 | Total 55.6858
Epoch 00094 | NCE 55.6476 | KOOP 0.0000 | τ 0.5000 | Total 55.6476
Epoch 00095 | NCE 55.6606 | KOOP 0.0000 | τ 0.5000 | Total 55.6606
Epoch 00096 | NCE 55.6576 | KOOP 0.0000 | τ 0.5000 | Total 55.6576
Epoch 00097 | NCE 55.6479 | KOOP 0.0000 | τ 0.5000 | Total 55.6479
Epoch 00098 | NCE 55.6276 | KOOP 0.0000 | τ 0.5000 | Total 55.6276
Epoch 00099 | NCE 55.5856 | KOOP 0.0000 | τ 0.5000 | Total 55.5856
Epoch 00100 | NCE 55.6406 | KOOP 0.0000 | τ 0.5000 | Total 55.6406
Epoch 00101 | NCE 55.5872 | KOOP 0.0000 | τ 0.5000 | Total 55.5872
Epoch 00102 | NCE 55.5869 | KOOP 0.0000 | τ 0.5000 | Total 55.5869
Epoch 00103 | NCE 55.5622 | KOOP 0.0000 | τ 0.5000 | Total 55.5622
Epoch 00104 | NCE 55.5029 | KOOP 0.0000 | τ 0.5000 | Total 55.5029
Epoch 00105 | NCE 55.5119 | KOOP 0.0000 | τ 0.5000 | Total 55.5119
Epoch 00106 | NCE 55.5730 | KOOP 0.0000 | τ 0.5000 | Total 55.5730
Epoch 00107 | NCE 55.4899 | KOOP 0.0000 | τ 0.5000 | Total 55.4899
Epoch 00108 | NCE 55.5023 | KOOP 0.0000 | τ 0.5000 | Total 55.5023
Epoch 00109 | NCE 55.4992 | KOOP 0.0000 | τ 0.5000 | Total 55.4992
Epoch 00110 | NCE 55.4565 | KOOP 0.0000 | τ 0.5000 | Total 55.4565
Epoch 00111 | NCE 55.4448 | KOOP 0.0000 | τ 0.5000 | Total 55.4448
Epoch 00112 | NCE 55.4939 | KOOP 0.0000 | τ 0.5000 | Total 55.4939
Epoch 00113 | NCE 55.4452 | KOOP 0.0000 | τ 0.5000 | Total 55.4452
Epoch 00114 | NCE 55.4346 | KOOP 0.0000 | τ 0.5000 | Total 55.4346
Epoch 00115 | NCE 55.4331 | KOOP 0.0000 | τ 0.5000 | Total 55.4331
Epoch 00116 | NCE 55.4178 | KOOP 0.0000 | τ 0.5000 | Total 55.4178
Epoch 00117 | NCE 55.4063 | KOOP 0.0000 | τ 0.5000 | Total 55.4063
Epoch 00118 | NCE 55.4388 | KOOP 0.0000 | τ 0.5000 | Total 55.4388
Epoch 00119 | NCE 55.3859 | KOOP 0.0000 | τ 0.5000 | Total 55.3859
Epoch 00120 | NCE 55.4112 | KOOP 0.0000 | τ 0.5000 | Total 55.4112
Epoch 00121 | NCE 55.3687 | KOOP 0.0000 | τ 0.5000 | Total 55.3687
Epoch 00122 | NCE 55.3710 | KOOP 0.0000 | τ 0.5000 | Total 55.3710
