/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=7 dataset=bitalpha task=classification
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (3219 nodes) → full-neighbour training sampler

Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 79.3947 | KOOP 0.0000 | τ 0.5000 | Total 79.3947
Epoch 00001 | NCE 75.0735 | KOOP 0.0000 | τ 0.5000 | Total 75.0735
Epoch 00002 | NCE 72.3130 | KOOP 0.0000 | τ 0.5000 | Total 72.3130
Epoch 00003 | NCE 69.7486 | KOOP 0.0000 | τ 0.5000 | Total 69.7486
Epoch 00004 | NCE 67.4222 | KOOP 0.0000 | τ 0.5000 | Total 67.4222
Epoch 00005 | NCE 67.3662 | KOOP 0.0000 | τ 0.5000 | Total 67.3662
Epoch 00006 | NCE 66.1856 | KOOP 0.0000 | τ 0.5000 | Total 66.1856
Epoch 00007 | NCE 65.3913 | KOOP 0.0000 | τ 0.5000 | Total 65.3913
Epoch 00008 | NCE 64.3402 | KOOP 0.0000 | τ 0.5000 | Total 64.3402
Epoch 00009 | NCE 64.2245 | KOOP 0.0000 | τ 0.5000 | Total 64.2245
Epoch 00010 | NCE 63.8016 | KOOP 0.0000 | τ 0.5000 | Total 63.8016
Epoch 00011 | NCE 63.2924 | KOOP 0.0000 | τ 0.5000 | Total 63.2924
Epoch 00012 | NCE 63.0967 | KOOP 0.0000 | τ 0.5000 | Total 63.0967
Epoch 00013 | NCE 62.5209 | KOOP 0.0000 | τ 0.5000 | Total 62.5209
Epoch 00014 | NCE 62.3885 | KOOP 0.0000 | τ 0.5000 | Total 62.3885
Epoch 00015 | NCE 62.0516 | KOOP 0.0000 | τ 0.5000 | Total 62.0516
Epoch 00016 | NCE 62.1792 | KOOP 0.0000 | τ 0.5000 | Total 62.1792
Epoch 00017 | NCE 61.4319 | KOOP 0.0000 | τ 0.5000 | Total 61.4319
Epoch 00018 | NCE 61.9609 | KOOP 0.0000 | τ 0.5000 | Total 61.9609
Epoch 00019 | NCE 61.2610 | KOOP 0.0000 | τ 0.5000 | Total 61.2610
Epoch 00020 | NCE 61.2765 | KOOP 0.0000 | τ 0.5000 | Total 61.2765
Epoch 00021 | NCE 61.7171 | KOOP 0.0000 | τ 0.5000 | Total 61.7171
Epoch 00022 | NCE 60.8867 | KOOP 0.0000 | τ 0.5000 | Total 60.8867
Epoch 00023 | NCE 60.9013 | KOOP 0.0000 | τ 0.5000 | Total 60.9013
Epoch 00024 | NCE 61.0461 | KOOP 0.0000 | τ 0.5000 | Total 61.0461
Epoch 00025 | NCE 60.6943 | KOOP 0.0000 | τ 0.5000 | Total 60.6943
Epoch 00026 | NCE 60.3864 | KOOP 0.0000 | τ 0.5000 | Total 60.3864
Epoch 00027 | NCE 60.2002 | KOOP 0.0000 | τ 0.5000 | Total 60.2002
Epoch 00028 | NCE 60.1083 | KOOP 0.0000 | τ 0.5000 | Total 60.1083
Epoch 00029 | NCE 59.8553 | KOOP 0.0000 | τ 0.5000 | Total 59.8553
Epoch 00030 | NCE 60.0756 | KOOP 0.0000 | τ 0.5000 | Total 60.0756
Epoch 00031 | NCE 59.8537 | KOOP 0.0000 | τ 0.5000 | Total 59.8537
Epoch 00032 | NCE 59.8914 | KOOP 0.0000 | τ 0.5000 | Total 59.8914
Epoch 00033 | NCE 59.6895 | KOOP 0.0000 | τ 0.5000 | Total 59.6895
Epoch 00034 | NCE 59.4743 | KOOP 0.0000 | τ 0.5000 | Total 59.4743
Epoch 00035 | NCE 59.7016 | KOOP 0.0000 | τ 0.5000 | Total 59.7016
