/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=no_ppr_eval seed=24 dataset=bitalpha task=classification
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (3219 nodes) → full-neighbour training sampler

Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 85.3553 | KOOP 0.0000 | τ 0.0703 | Total 85.3553
Epoch 00001 | NCE 69.5328 | KOOP 0.0000 | τ 0.0706 | Total 69.5328
Epoch 00002 | NCE 60.0467 | KOOP 0.0000 | τ 0.0708 | Total 60.0467
Epoch 00003 | NCE 54.0554 | KOOP 0.0000 | τ 0.0710 | Total 54.0554
Epoch 00004 | NCE 49.0543 | KOOP 0.0000 | τ 0.0711 | Total 49.0543
Epoch 00005 | NCE 44.6272 | KOOP 0.0000 | τ 0.0711 | Total 44.6272
Epoch 00006 | NCE 45.1558 | KOOP 0.0000 | τ 0.0710 | Total 45.1558
Epoch 00007 | NCE 42.4276 | KOOP 0.0000 | τ 0.0709 | Total 42.4276
Epoch 00008 | NCE 37.7654 | KOOP 0.0000 | τ 0.0708 | Total 37.7654
Epoch 00009 | NCE 34.7946 | KOOP 0.0000 | τ 0.0707 | Total 34.7946
Epoch 00010 | NCE 33.8377 | KOOP 0.0000 | τ 0.0705 | Total 33.8377
Epoch 00011 | NCE 34.9810 | KOOP 0.0000 | τ 0.0703 | Total 34.9810
Epoch 00012 | NCE 31.2923 | KOOP 0.0000 | τ 0.0701 | Total 31.2923
Epoch 00013 | NCE 30.5912 | KOOP 0.0000 | τ 0.0699 | Total 30.5912
Epoch 00014 | NCE 28.9471 | KOOP 0.0000 | τ 0.0697 | Total 28.9471
Epoch 00015 | NCE 27.2874 | KOOP 0.0000 | τ 0.0695 | Total 27.2874
Epoch 00016 | NCE 24.5264 | KOOP 0.0000 | τ 0.0692 | Total 24.5264
Epoch 00017 | NCE 25.0666 | KOOP 0.0000 | τ 0.0690 | Total 25.0666
Epoch 00018 | NCE 25.3075 | KOOP 0.0000 | τ 0.0688 | Total 25.3075
Epoch 00019 | NCE 21.8441 | KOOP 0.0000 | τ 0.0686 | Total 21.8441
Epoch 00020 | NCE 24.5161 | KOOP 0.0000 | τ 0.0683 | Total 24.5161
Epoch 00021 | NCE 21.0154 | KOOP 0.0000 | τ 0.0681 | Total 21.0154
Epoch 00022 | NCE 21.1707 | KOOP 0.0000 | τ 0.0678 | Total 21.1707
Epoch 00023 | NCE 20.7921 | KOOP 0.0000 | τ 0.0676 | Total 20.7921
Epoch 00024 | NCE 19.5282 | KOOP 0.0000 | τ 0.0673 | Total 19.5282
Epoch 00025 | NCE 19.6674 | KOOP 0.0000 | τ 0.0671 | Total 19.6674
Epoch 00026 | NCE 18.8950 | KOOP 0.0000 | τ 0.0668 | Total 18.8950
Epoch 00027 | NCE 18.4838 | KOOP 0.0000 | τ 0.0666 | Total 18.4838
Epoch 00028 | NCE 17.7540 | KOOP 0.0000 | τ 0.0663 | Total 17.7540
Epoch 00029 | NCE 17.9744 | KOOP 0.0000 | τ 0.0661 | Total 17.9744
Epoch 00030 | NCE 15.8289 | KOOP 0.0000 | τ 0.0658 | Total 15.8289
Epoch 00031 | NCE 16.2912 | KOOP 0.0000 | τ 0.0656 | Total 16.2912
Epoch 00032 | NCE 17.0978 | KOOP 0.0000 | τ 0.0653 | Total 17.0978
Epoch 00033 | NCE 15.6132 | KOOP 0.0000 | τ 0.0650 | Total 15.6132
