/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=7 dataset=bitalpha task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (3219 nodes) → full-neighbour training sampler

[KAIROS] Backbone: sgc
Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 74.7971 | KOOP 0.0000 | τ 0.5000 | Total 74.7971
Epoch 00001 | NCE 69.7082 | KOOP 0.0000 | τ 0.5000 | Total 69.7082
Epoch 00002 | NCE 68.4307 | KOOP 0.0000 | τ 0.5000 | Total 68.4307
Epoch 00003 | NCE 66.2048 | KOOP 0.0000 | τ 0.5000 | Total 66.2048
Epoch 00004 | NCE 64.1053 | KOOP 0.0000 | τ 0.5000 | Total 64.1053
Epoch 00005 | NCE 64.8986 | KOOP 0.0000 | τ 0.5000 | Total 64.8986
Epoch 00006 | NCE 63.3779 | KOOP 0.0000 | τ 0.5000 | Total 63.3779
Epoch 00007 | NCE 63.1246 | KOOP 0.0000 | τ 0.5000 | Total 63.1246
Epoch 00008 | NCE 62.1509 | KOOP 0.0000 | τ 0.5000 | Total 62.1509
Epoch 00009 | NCE 62.5813 | KOOP 0.0000 | τ 0.5000 | Total 62.5813
Epoch 00010 | NCE 62.2560 | KOOP 0.0000 | τ 0.5000 | Total 62.2560
Epoch 00011 | NCE 61.8216 | KOOP 0.0000 | τ 0.5000 | Total 61.8216
Epoch 00012 | NCE 61.6799 | KOOP 0.0000 | τ 0.5000 | Total 61.6799
Epoch 00013 | NCE 60.7461 | KOOP 0.0000 | τ 0.5000 | Total 60.7461
Epoch 00014 | NCE 60.6286 | KOOP 0.0000 | τ 0.5000 | Total 60.6286
Epoch 00015 | NCE 60.1934 | KOOP 0.0000 | τ 0.5000 | Total 60.1934
Epoch 00016 | NCE 60.7531 | KOOP 0.0000 | τ 0.5000 | Total 60.7531
Epoch 00017 | NCE 59.6692 | KOOP 0.0000 | τ 0.5000 | Total 59.6692
Epoch 00018 | NCE 60.8887 | KOOP 0.0000 | τ 0.5000 | Total 60.8887
Epoch 00019 | NCE 60.0158 | KOOP 0.0000 | τ 0.5000 | Total 60.0158
Epoch 00020 | NCE 60.1410 | KOOP 0.0000 | τ 0.5000 | Total 60.1410
Epoch 00021 | NCE 60.8143 | KOOP 0.0000 | τ 0.5000 | Total 60.8143
Epoch 00022 | NCE 59.6281 | KOOP 0.0000 | τ 0.5000 | Total 59.6281
Epoch 00023 | NCE 59.6985 | KOOP 0.0000 | τ 0.5000 | Total 59.6985
Epoch 00024 | NCE 60.1408 | KOOP 0.0000 | τ 0.5000 | Total 60.1408
Epoch 00025 | NCE 60.0338 | KOOP 0.0000 | τ 0.5000 | Total 60.0338
Epoch 00026 | NCE 59.3103 | KOOP 0.0000 | τ 0.5000 | Total 59.3103
Epoch 00027 | NCE 58.9943 | KOOP 0.0000 | τ 0.5000 | Total 58.9943
Epoch 00028 | NCE 58.8090 | KOOP 0.0000 | τ 0.5000 | Total 58.8090
Epoch 00029 | NCE 58.8373 | KOOP 0.0000 | τ 0.5000 | Total 58.8373
Epoch 00030 | NCE 59.4680 | KOOP 0.0000 | τ 0.5000 | Total 59.4680
Epoch 00031 | NCE 59.2290 | KOOP 0.0000 | τ 0.5000 | Total 59.2290
Epoch 00032 | NCE 59.2837 | KOOP 0.0000 | τ 0.5000 | Total 59.2837
Epoch 00033 | NCE 59.2532 | KOOP 0.0000 | τ 0.5000 | Total 59.2532
Epoch 00034 | NCE 58.8260 | KOOP 0.0000 | τ 0.5000 | Total 58.8260
Epoch 00035 | NCE 58.9671 | KOOP 0.0000 | τ 0.5000 | Total 58.9671
Epoch 00036 | NCE 59.0205 | KOOP 0.0000 | τ 0.5000 | Total 59.0205
Epoch 00037 | NCE 59.3071 | KOOP 0.0000 | τ 0.5000 | Total 59.3071
Epoch 00038 | NCE 58.6304 | KOOP 0.0000 | τ 0.5000 | Total 58.6304
Epoch 00039 | NCE 58.6184 | KOOP 0.0000 | τ 0.5000 | Total 58.6184
Epoch 00040 | NCE 58.4106 | KOOP 0.0000 | τ 0.5000 | Total 58.4106
Epoch 00041 | NCE 59.1429 | KOOP 0.0000 | τ 0.5000 | Total 59.1429
Epoch 00042 | NCE 59.1454 | KOOP 0.0000 | τ 0.5000 | Total 59.1454
Epoch 00043 | NCE 58.1387 | KOOP 0.0000 | τ 0.5000 | Total 58.1387
Epoch 00044 | NCE 58.6614 | KOOP 0.0000 | τ 0.5000 | Total 58.6614
Epoch 00045 | NCE 58.8832 | KOOP 0.0000 | τ 0.5000 | Total 58.8832
Epoch 00046 | NCE 58.7913 | KOOP 0.0000 | τ 0.5000 | Total 58.7913
Epoch 00047 | NCE 58.0908 | KOOP 0.0000 | τ 0.5000 | Total 58.0908
Epoch 00048 | NCE 58.3484 | KOOP 0.0000 | τ 0.5000 | Total 58.3484
Epoch 00049 | NCE 57.8963 | KOOP 0.0000 | τ 0.5000 | Total 57.8963
Epoch 00050 | NCE 58.5344 | KOOP 0.0000 | τ 0.5000 | Total 58.5344
Epoch 00051 | NCE 58.7420 | KOOP 0.0000 | τ 0.5000 | Total 58.7420
Epoch 00052 | NCE 58.7780 | KOOP 0.0000 | τ 0.5000 | Total 58.7780
Epoch 00053 | NCE 58.3175 | KOOP 0.0000 | τ 0.5000 | Total 58.3175
Epoch 00054 | NCE 58.7084 | KOOP 0.0000 | τ 0.5000 | Total 58.7084
