/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=24 dataset=bitalpha task=classification
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (3219 nodes) → full-neighbour training sampler

[KAIROS] Backbone: gat
Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 75.9852 | KOOP 0.0000 | τ 0.5000 | Total 75.9852
Epoch 00001 | NCE 72.3530 | KOOP 0.0000 | τ 0.5000 | Total 72.3530
Epoch 00002 | NCE 68.7532 | KOOP 0.0000 | τ 0.5000 | Total 68.7532
Epoch 00003 | NCE 66.3653 | KOOP 0.0000 | τ 0.5000 | Total 66.3653
Epoch 00004 | NCE 65.1532 | KOOP 0.0000 | τ 0.5000 | Total 65.1532
Epoch 00005 | NCE 63.8340 | KOOP 0.0000 | τ 0.5000 | Total 63.8340
Epoch 00006 | NCE 63.7302 | KOOP 0.0000 | τ 0.5000 | Total 63.7302
Epoch 00007 | NCE 63.0507 | KOOP 0.0000 | τ 0.5000 | Total 63.0507
Epoch 00008 | NCE 61.9423 | KOOP 0.0000 | τ 0.5000 | Total 61.9423
Epoch 00009 | NCE 61.5607 | KOOP 0.0000 | τ 0.5000 | Total 61.5607
Epoch 00010 | NCE 61.2585 | KOOP 0.0000 | τ 0.5000 | Total 61.2585
Epoch 00011 | NCE 61.2160 | KOOP 0.0000 | τ 0.5000 | Total 61.2160
Epoch 00012 | NCE 60.9054 | KOOP 0.0000 | τ 0.5000 | Total 60.9054
Epoch 00013 | NCE 60.6162 | KOOP 0.0000 | τ 0.5000 | Total 60.6162
Epoch 00014 | NCE 60.2532 | KOOP 0.0000 | τ 0.5000 | Total 60.2532
Epoch 00015 | NCE 60.0854 | KOOP 0.0000 | τ 0.5000 | Total 60.0854
Epoch 00016 | NCE 59.8784 | KOOP 0.0000 | τ 0.5000 | Total 59.8784
Epoch 00017 | NCE 59.7789 | KOOP 0.0000 | τ 0.5000 | Total 59.7789
Epoch 00018 | NCE 59.8914 | KOOP 0.0000 | τ 0.5000 | Total 59.8914
Epoch 00019 | NCE 59.1849 | KOOP 0.0000 | τ 0.5000 | Total 59.1849
Epoch 00020 | NCE 59.5426 | KOOP 0.0000 | τ 0.5000 | Total 59.5426
Epoch 00021 | NCE 59.0437 | KOOP 0.0000 | τ 0.5000 | Total 59.0437
Epoch 00022 | NCE 58.9567 | KOOP 0.0000 | τ 0.5000 | Total 58.9567
Epoch 00023 | NCE 59.1153 | KOOP 0.0000 | τ 0.5000 | Total 59.1153
Epoch 00024 | NCE 58.7962 | KOOP 0.0000 | τ 0.5000 | Total 58.7962
Epoch 00025 | NCE 58.9016 | KOOP 0.0000 | τ 0.5000 | Total 58.9016
Epoch 00026 | NCE 58.7906 | KOOP 0.0000 | τ 0.5000 | Total 58.7906
Epoch 00027 | NCE 58.6062 | KOOP 0.0000 | τ 0.5000 | Total 58.6062
Epoch 00028 | NCE 58.6281 | KOOP 0.0000 | τ 0.5000 | Total 58.6281
Epoch 00029 | NCE 58.4731 | KOOP 0.0000 | τ 0.5000 | Total 58.4731
Epoch 00030 | NCE 58.2346 | KOOP 0.0000 | τ 0.5000 | Total 58.2346
Epoch 00031 | NCE 58.3551 | KOOP 0.0000 | τ 0.5000 | Total 58.3551
Epoch 00032 | NCE 58.3845 | KOOP 0.0000 | τ 0.5000 | Total 58.3845
Epoch 00033 | NCE 58.1525 | KOOP 0.0000 | τ 0.5000 | Total 58.1525
Epoch 00034 | NCE 58.0548 | KOOP 0.0000 | τ 0.5000 | Total 58.0548
Epoch 00035 | NCE 58.1740 | KOOP 0.0000 | τ 0.5000 | Total 58.1740
Epoch 00036 | NCE 57.9339 | KOOP 0.0000 | τ 0.5000 | Total 57.9339
Epoch 00037 | NCE 57.9857 | KOOP 0.0000 | τ 0.5000 | Total 57.9857
Epoch 00038 | NCE 58.0741 | KOOP 0.0000 | τ 0.5000 | Total 58.0741
Epoch 00039 | NCE 57.9590 | KOOP 0.0000 | τ 0.5000 | Total 57.9590
Epoch 00040 | NCE 57.8201 | KOOP 0.0000 | τ 0.5000 | Total 57.8201
Epoch 00041 | NCE 57.7798 | KOOP 0.0000 | τ 0.5000 | Total 57.7798
Epoch 00042 | NCE 57.6079 | KOOP 0.0000 | τ 0.5000 | Total 57.6079
Epoch 00043 | NCE 57.6099 | KOOP 0.0000 | τ 0.5000 | Total 57.6099
Epoch 00044 | NCE 57.5604 | KOOP 0.0000 | τ 0.5000 | Total 57.5604
Epoch 00045 | NCE 57.7029 | KOOP 0.0000 | τ 0.5000 | Total 57.7029
Epoch 00046 | NCE 57.4946 | KOOP 0.0000 | τ 0.5000 | Total 57.4946
Epoch 00047 | NCE 57.4892 | KOOP 0.0000 | τ 0.5000 | Total 57.4892
Epoch 00048 | NCE 57.3580 | KOOP 0.0000 | τ 0.5000 | Total 57.3580
Epoch 00049 | NCE 57.4848 | KOOP 0.0000 | τ 0.5000 | Total 57.4848
Epoch 00050 | NCE 57.5199 | KOOP 0.0000 | τ 0.5000 | Total 57.5199
Epoch 00051 | NCE 57.4069 | KOOP 0.0000 | τ 0.5000 | Total 57.4069
Epoch 00052 | NCE 57.5156 | KOOP 0.0000 | τ 0.5000 | Total 57.5156
Epoch 00053 | NCE 57.4074 | KOOP 0.0000 | τ 0.5000 | Total 57.4074
Epoch 00054 | NCE 57.2225 | KOOP 0.0000 | τ 0.5000 | Total 57.2225
Epoch 00055 | NCE 57.1593 | KOOP 0.0000 | τ 0.5000 | Total 57.1593
Epoch 00056 | NCE 57.1672 | KOOP 0.0000 | τ 0.5000 | Total 57.1672
Epoch 00057 | NCE 57.1365 | KOOP 0.0000 | τ 0.5000 | Total 57.1365
Epoch 00058 | NCE 57.2794 | KOOP 0.0000 | τ 0.5000 | Total 57.2794
Epoch 00059 | NCE 57.1408 | KOOP 0.0000 | τ 0.5000 | Total 57.1408
Epoch 00060 | NCE 57.0733 | KOOP 0.0000 | τ 0.5000 | Total 57.0733
Epoch 00061 | NCE 57.1854 | KOOP 0.0000 | τ 0.5000 | Total 57.1854
Epoch 00062 | NCE 57.0550 | KOOP 0.0000 | τ 0.5000 | Total 57.0550
Epoch 00063 | NCE 57.1343 | KOOP 0.0000 | τ 0.5000 | Total 57.1343
Epoch 00064 | NCE 57.2062 | KOOP 0.0000 | τ 0.5000 | Total 57.2062
Epoch 00065 | NCE 57.1372 | KOOP 0.0000 | τ 0.5000 | Total 57.1372
Epoch 00066 | NCE 57.0669 | KOOP 0.0000 | τ 0.5000 | Total 57.0669
Epoch 00067 | NCE 57.0532 | KOOP 0.0000 | τ 0.5000 | Total 57.0532
Epoch 00068 | NCE 57.0546 | KOOP 0.0000 | τ 0.5000 | Total 57.0546
Epoch 00069 | NCE 57.1192 | KOOP 0.0000 | τ 0.5000 | Total 57.1192
Epoch 00070 | NCE 57.0559 | KOOP 0.0000 | τ 0.5000 | Total 57.0559
Epoch 00071 | NCE 57.0371 | KOOP 0.0000 | τ 0.5000 | Total 57.0371
Epoch 00072 | NCE 56.9824 | KOOP 0.0000 | τ 0.5000 | Total 56.9824
Epoch 00073 | NCE 57.0200 | KOOP 0.0000 | τ 0.5000 | Total 57.0200
Epoch 00074 | NCE 56.8921 | KOOP 0.0000 | τ 0.5000 | Total 56.8921
Epoch 00075 | NCE 56.8666 | KOOP 0.0000 | τ 0.5000 | Total 56.8666
Epoch 00076 | NCE 57.0432 | KOOP 0.0000 | τ 0.5000 | Total 57.0432
Epoch 00077 | NCE 56.7780 | KOOP 0.0000 | τ 0.5000 | Total 56.7780
Epoch 00078 | NCE 56.8918 | KOOP 0.0000 | τ 0.5000 | Total 56.8918
Epoch 00079 | NCE 56.7450 | KOOP 0.0000 | τ 0.5000 | Total 56.7450
Epoch 00080 | NCE 56.9903 | KOOP 0.0000 | τ 0.5000 | Total 56.9903
Epoch 00081 | NCE 56.7640 | KOOP 0.0000 | τ 0.5000 | Total 56.7640
