/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=24 dataset=bitalpha task=classification
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (3219 nodes) → full-neighbour training sampler

Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 75.9769 | KOOP 0.0000 | τ 0.5000 | Total 75.9769
Epoch 00001 | NCE 72.3238 | KOOP 0.0000 | τ 0.5000 | Total 72.3238
Epoch 00002 | NCE 68.7848 | KOOP 0.0000 | τ 0.5000 | Total 68.7848
Epoch 00003 | NCE 66.4440 | KOOP 0.0000 | τ 0.5000 | Total 66.4440
Epoch 00004 | NCE 65.2194 | KOOP 0.0000 | τ 0.5000 | Total 65.2194
Epoch 00005 | NCE 63.8611 | KOOP 0.0000 | τ 0.5000 | Total 63.8611
Epoch 00006 | NCE 63.7823 | KOOP 0.0000 | τ 0.5000 | Total 63.7823
Epoch 00007 | NCE 63.0749 | KOOP 0.0000 | τ 0.5000 | Total 63.0749
Epoch 00008 | NCE 61.9756 | KOOP 0.0000 | τ 0.5000 | Total 61.9756
Epoch 00009 | NCE 61.5587 | KOOP 0.0000 | τ 0.5000 | Total 61.5587
Epoch 00010 | NCE 61.3084 | KOOP 0.0000 | τ 0.5000 | Total 61.3084
Epoch 00011 | NCE 61.2944 | KOOP 0.0000 | τ 0.5000 | Total 61.2944
Epoch 00012 | NCE 60.9228 | KOOP 0.0000 | τ 0.5000 | Total 60.9228
Epoch 00013 | NCE 60.6588 | KOOP 0.0000 | τ 0.5000 | Total 60.6588
Epoch 00014 | NCE 60.2612 | KOOP 0.0000 | τ 0.5000 | Total 60.2612
Epoch 00015 | NCE 60.1403 | KOOP 0.0000 | τ 0.5000 | Total 60.1403
Epoch 00016 | NCE 59.9008 | KOOP 0.0000 | τ 0.5000 | Total 59.9008
Epoch 00017 | NCE 59.7774 | KOOP 0.0000 | τ 0.5000 | Total 59.7774
Epoch 00018 | NCE 59.9118 | KOOP 0.0000 | τ 0.5000 | Total 59.9118
Epoch 00019 | NCE 59.1866 | KOOP 0.0000 | τ 0.5000 | Total 59.1866
Epoch 00020 | NCE 59.5393 | KOOP 0.0000 | τ 0.5000 | Total 59.5393
Epoch 00021 | NCE 59.0428 | KOOP 0.0000 | τ 0.5000 | Total 59.0428
Epoch 00022 | NCE 58.9352 | KOOP 0.0000 | τ 0.5000 | Total 58.9352
Epoch 00023 | NCE 59.1129 | KOOP 0.0000 | τ 0.5000 | Total 59.1129
Epoch 00024 | NCE 58.7943 | KOOP 0.0000 | τ 0.5000 | Total 58.7943
Epoch 00025 | NCE 58.8672 | KOOP 0.0000 | τ 0.5000 | Total 58.8672
Epoch 00026 | NCE 58.7655 | KOOP 0.0000 | τ 0.5000 | Total 58.7655
Epoch 00027 | NCE 58.6213 | KOOP 0.0000 | τ 0.5000 | Total 58.6213
Epoch 00028 | NCE 58.6204 | KOOP 0.0000 | τ 0.5000 | Total 58.6204
Epoch 00029 | NCE 58.4869 | KOOP 0.0000 | τ 0.5000 | Total 58.4869
Epoch 00030 | NCE 58.2517 | KOOP 0.0000 | τ 0.5000 | Total 58.2517
Epoch 00031 | NCE 58.3954 | KOOP 0.0000 | τ 0.5000 | Total 58.3954
Epoch 00032 | NCE 58.4373 | KOOP 0.0000 | τ 0.5000 | Total 58.4373
Epoch 00033 | NCE 58.2013 | KOOP 0.0000 | τ 0.5000 | Total 58.2013
Epoch 00034 | NCE 58.0798 | KOOP 0.0000 | τ 0.5000 | Total 58.0798
Epoch 00035 | NCE 58.1817 | KOOP 0.0000 | τ 0.5000 | Total 58.1817
Epoch 00036 | NCE 57.9557 | KOOP 0.0000 | τ 0.5000 | Total 57.9557
Epoch 00037 | NCE 57.9986 | KOOP 0.0000 | τ 0.5000 | Total 57.9986
Epoch 00038 | NCE 58.0617 | KOOP 0.0000 | τ 0.5000 | Total 58.0617
Epoch 00039 | NCE 57.9798 | KOOP 0.0000 | τ 0.5000 | Total 57.9798
Epoch 00040 | NCE 57.8267 | KOOP 0.0000 | τ 0.5000 | Total 57.8267
Epoch 00041 | NCE 57.7781 | KOOP 0.0000 | τ 0.5000 | Total 57.7781
Epoch 00042 | NCE 57.6049 | KOOP 0.0000 | τ 0.5000 | Total 57.6049
Epoch 00043 | NCE 57.6267 | KOOP 0.0000 | τ 0.5000 | Total 57.6267
Epoch 00044 | NCE 57.5533 | KOOP 0.0000 | τ 0.5000 | Total 57.5533
Epoch 00045 | NCE 57.7000 | KOOP 0.0000 | τ 0.5000 | Total 57.7000
Epoch 00046 | NCE 57.4869 | KOOP 0.0000 | τ 0.5000 | Total 57.4869
Epoch 00047 | NCE 57.4810 | KOOP 0.0000 | τ 0.5000 | Total 57.4810
Epoch 00048 | NCE 57.3782 | KOOP 0.0000 | τ 0.5000 | Total 57.3782
Epoch 00049 | NCE 57.5160 | KOOP 0.0000 | τ 0.5000 | Total 57.5160
Epoch 00050 | NCE 57.5363 | KOOP 0.0000 | τ 0.5000 | Total 57.5363
Epoch 00051 | NCE 57.4281 | KOOP 0.0000 | τ 0.5000 | Total 57.4281
Epoch 00052 | NCE 57.5551 | KOOP 0.0000 | τ 0.5000 | Total 57.5551
Epoch 00053 | NCE 57.4538 | KOOP 0.0000 | τ 0.5000 | Total 57.4538
Epoch 00054 | NCE 57.2546 | KOOP 0.0000 | τ 0.5000 | Total 57.2546
Epoch 00055 | NCE 57.1833 | KOOP 0.0000 | τ 0.5000 | Total 57.1833
Epoch 00056 | NCE 57.1933 | KOOP 0.0000 | τ 0.5000 | Total 57.1933
Epoch 00057 | NCE 57.1576 | KOOP 0.0000 | τ 0.5000 | Total 57.1576
Epoch 00058 | NCE 57.2993 | KOOP 0.0000 | τ 0.5000 | Total 57.2993
Epoch 00059 | NCE 57.1691 | KOOP 0.0000 | τ 0.5000 | Total 57.1691
Epoch 00060 | NCE 57.0945 | KOOP 0.0000 | τ 0.5000 | Total 57.0945
Epoch 00061 | NCE 57.2210 | KOOP 0.0000 | τ 0.5000 | Total 57.2210
Epoch 00062 | NCE 57.0709 | KOOP 0.0000 | τ 0.5000 | Total 57.0709
Epoch 00063 | NCE 57.1269 | KOOP 0.0000 | τ 0.5000 | Total 57.1269
Epoch 00064 | NCE 57.2414 | KOOP 0.0000 | τ 0.5000 | Total 57.2414
Epoch 00065 | NCE 57.1562 | KOOP 0.0000 | τ 0.5000 | Total 57.1562
Epoch 00066 | NCE 57.0890 | KOOP 0.0000 | τ 0.5000 | Total 57.0890
Epoch 00067 | NCE 57.0711 | KOOP 0.0000 | τ 0.5000 | Total 57.0711
Epoch 00068 | NCE 57.0619 | KOOP 0.0000 | τ 0.5000 | Total 57.0619
Epoch 00069 | NCE 57.1592 | KOOP 0.0000 | τ 0.5000 | Total 57.1592
Epoch 00070 | NCE 57.0825 | KOOP 0.0000 | τ 0.5000 | Total 57.0825
Epoch 00071 | NCE 57.0460 | KOOP 0.0000 | τ 0.5000 | Total 57.0460
