/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=none seed=24 dataset=bitotc task=classification
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (4863 nodes) → full-neighbour training sampler

Training 50 epochs | 4 views | λ_koop=0.0 | PPR α=0.2

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 82.0262 | KOOP 0.0000 | τ 0.0703 | Total 82.0262
Epoch 00001 | NCE 65.4411 | KOOP 0.0000 | τ 0.0705 | Total 65.4411
Epoch 00002 | NCE 54.3024 | KOOP 0.0000 | τ 0.0708 | Total 54.3024
Epoch 00003 | NCE 51.9198 | KOOP 0.0000 | τ 0.0709 | Total 51.9198
Epoch 00004 | NCE 47.5253 | KOOP 0.0000 | τ 0.0709 | Total 47.5253
Epoch 00005 | NCE 43.9325 | KOOP 0.0000 | τ 0.0709 | Total 43.9325
Epoch 00006 | NCE 44.3229 | KOOP 0.0000 | τ 0.0708 | Total 44.3229
Epoch 00007 | NCE 37.9042 | KOOP 0.0000 | τ 0.0707 | Total 37.9042
Epoch 00008 | NCE 40.2969 | KOOP 0.0000 | τ 0.0706 | Total 40.2969
Epoch 00009 | NCE 37.7651 | KOOP 0.0000 | τ 0.0705 | Total 37.7651
Epoch 00010 | NCE 35.6153 | KOOP 0.0000 | τ 0.0703 | Total 35.6153
Epoch 00011 | NCE 31.8343 | KOOP 0.0000 | τ 0.0701 | Total 31.8343
Epoch 00012 | NCE 30.1406 | KOOP 0.0000 | τ 0.0699 | Total 30.1406
Epoch 00013 | NCE 30.5786 | KOOP 0.0000 | τ 0.0698 | Total 30.5786
Epoch 00014 | NCE 28.0630 | KOOP 0.0000 | τ 0.0696 | Total 28.0630
Epoch 00015 | NCE 27.2637 | KOOP 0.0000 | τ 0.0694 | Total 27.2637
Epoch 00016 | NCE 25.7680 | KOOP 0.0000 | τ 0.0692 | Total 25.7680
Epoch 00017 | NCE 25.2805 | KOOP 0.0000 | τ 0.0690 | Total 25.2805
Epoch 00018 | NCE 25.9873 | KOOP 0.0000 | τ 0.0688 | Total 25.9873
Epoch 00019 | NCE 23.7543 | KOOP 0.0000 | τ 0.0686 | Total 23.7543
Epoch 00020 | NCE 24.8934 | KOOP 0.0000 | τ 0.0685 | Total 24.8934
Epoch 00021 | NCE 22.4074 | KOOP 0.0000 | τ 0.0683 | Total 22.4074
Epoch 00022 | NCE 23.1347 | KOOP 0.0000 | τ 0.0681 | Total 23.1347
Epoch 00023 | NCE 23.4377 | KOOP 0.0000 | τ 0.0680 | Total 23.4377
Epoch 00024 | NCE 21.6743 | KOOP 0.0000 | τ 0.0678 | Total 21.6743
Epoch 00025 | NCE 21.3651 | KOOP 0.0000 | τ 0.0677 | Total 21.3651
Epoch 00026 | NCE 21.2793 | KOOP 0.0000 | τ 0.0676 | Total 21.2793
Epoch 00027 | NCE 19.5599 | KOOP 0.0000 | τ 0.0674 | Total 19.5599
Epoch 00028 | NCE 20.3950 | KOOP 0.0000 | τ 0.0673 | Total 20.3950
