/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=7 dataset=bitotc task=anomaly_detection
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
Constructing structural anomaly nodes...
Done. 150 structural nodes (2250 edges)

Constructing attribute anomaly nodes...
Done. 150 attribute anomaly nodes

[KAIROS] Small graph (4863 nodes) → full-neighbour training sampler

[KAIROS] Backbone: gat
Training 50 epochs | 4 views | λ_koop=1.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 79.3744 | KOOP 0.1164 | τ 0.5000 | Total 79.4909
Epoch 00001 | NCE 75.2778 | KOOP 0.0884 | τ 0.5000 | Total 75.3662
Epoch 00002 | NCE 71.9532 | KOOP 0.0697 | τ 0.5000 | Total 72.0229
Epoch 00003 | NCE 69.4209 | KOOP 0.0485 | τ 0.5000 | Total 69.4694
Epoch 00004 | NCE 68.3893 | KOOP 0.0563 | τ 0.5000 | Total 68.4456
Epoch 00005 | NCE 66.9797 | KOOP 0.0380 | τ 0.5000 | Total 67.0177
Epoch 00006 | NCE 66.1593 | KOOP 0.0367 | τ 0.5000 | Total 66.1960
Epoch 00007 | NCE 65.6594 | KOOP 0.0384 | τ 0.5000 | Total 65.6978
Epoch 00008 | NCE 64.7717 | KOOP 0.0267 | τ 0.5000 | Total 64.7985
Epoch 00009 | NCE 64.3945 | KOOP 0.0244 | τ 0.5000 | Total 64.4189
Epoch 00010 | NCE 63.9141 | KOOP 0.0284 | τ 0.5000 | Total 63.9425
Epoch 00011 | NCE 63.3593 | KOOP 0.0299 | τ 0.5000 | Total 63.3892
Epoch 00012 | NCE 63.4457 | KOOP 0.0202 | τ 0.5000 | Total 63.4659
Epoch 00013 | NCE 62.8834 | KOOP 0.0260 | τ 0.5000 | Total 62.9094
Epoch 00014 | NCE 62.7098 | KOOP 0.0299 | τ 0.5000 | Total 62.7397
Epoch 00015 | NCE 62.7304 | KOOP 0.0240 | τ 0.5000 | Total 62.7544
Epoch 00016 | NCE 62.4705 | KOOP 0.0184 | τ 0.5000 | Total 62.4889
Epoch 00017 | NCE 61.7280 | KOOP 0.0227 | τ 0.5000 | Total 61.7507
Epoch 00018 | NCE 62.1706 | KOOP 0.0204 | τ 0.5000 | Total 62.1911
Epoch 00019 | NCE 61.6621 | KOOP 0.0201 | τ 0.5000 | Total 61.6822
Epoch 00020 | NCE 61.8126 | KOOP 0.0204 | τ 0.5000 | Total 61.8330
Epoch 00021 | NCE 61.5798 | KOOP 0.0259 | τ 0.5000 | Total 61.6057
Epoch 00022 | NCE 61.6279 | KOOP 0.0226 | τ 0.5000 | Total 61.6505
Epoch 00023 | NCE 61.5766 | KOOP 0.0234 | τ 0.5000 | Total 61.5999
