/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=13 dataset=bitotc task=classification
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (4863 nodes) → full-neighbour training sampler

Training 50 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 78.9032 | KOOP 0.0000 | τ 0.5000 | Total 78.9032
Epoch 00001 | NCE 75.4689 | KOOP 0.0000 | τ 0.5000 | Total 75.4689
Epoch 00002 | NCE 72.0704 | KOOP 0.0000 | τ 0.5000 | Total 72.0704
Epoch 00003 | NCE 69.3567 | KOOP 0.0000 | τ 0.5000 | Total 69.3567
Epoch 00004 | NCE 68.4776 | KOOP 0.0000 | τ 0.5000 | Total 68.4776
Epoch 00005 | NCE 66.9340 | KOOP 0.0000 | τ 0.5000 | Total 66.9340
Epoch 00006 | NCE 66.0764 | KOOP 0.0000 | τ 0.5000 | Total 66.0764
Epoch 00007 | NCE 64.2610 | KOOP 0.0000 | τ 0.5000 | Total 64.2610
Epoch 00008 | NCE 64.4753 | KOOP 0.0000 | τ 0.5000 | Total 64.4753
Epoch 00009 | NCE 63.4455 | KOOP 0.0000 | τ 0.5000 | Total 63.4455
Epoch 00010 | NCE 63.3719 | KOOP 0.0000 | τ 0.5000 | Total 63.3719
Epoch 00011 | NCE 63.5322 | KOOP 0.0000 | τ 0.5000 | Total 63.5322
Epoch 00012 | NCE 63.4315 | KOOP 0.0000 | τ 0.5000 | Total 63.4315
Epoch 00013 | NCE 62.6312 | KOOP 0.0000 | τ 0.5000 | Total 62.6312
Epoch 00014 | NCE 62.5076 | KOOP 0.0000 | τ 0.5000 | Total 62.5076
Epoch 00015 | NCE 61.9336 | KOOP 0.0000 | τ 0.5000 | Total 61.9336
Epoch 00016 | NCE 62.2675 | KOOP 0.0000 | τ 0.5000 | Total 62.2675
Epoch 00017 | NCE 61.9904 | KOOP 0.0000 | τ 0.5000 | Total 61.9904
Epoch 00018 | NCE 61.5561 | KOOP 0.0000 | τ 0.5000 | Total 61.5561
Epoch 00019 | NCE 61.9996 | KOOP 0.0000 | τ 0.5000 | Total 61.9996
Epoch 00020 | NCE 61.2061 | KOOP 0.0000 | τ 0.5000 | Total 61.2061
Epoch 00021 | NCE 60.4467 | KOOP 0.0000 | τ 0.5000 | Total 60.4467
Epoch 00022 | NCE 61.4135 | KOOP 0.0000 | τ 0.5000 | Total 61.4135
Epoch 00023 | NCE 60.8699 | KOOP 0.0000 | τ 0.5000 | Total 60.8699
Epoch 00024 | NCE 60.8215 | KOOP 0.0000 | τ 0.5000 | Total 60.8215
Epoch 00025 | NCE 60.8725 | KOOP 0.0000 | τ 0.5000 | Total 60.8725
Epoch 00026 | NCE 60.9738 | KOOP 0.0000 | τ 0.5000 | Total 60.9738
