/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=none seed=7 dataset=dblp task=classification
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (25387 nodes) → mini-batch sampler fanout=[20, 20]

Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 79.4886 | KOOP 0.0000 | τ 0.0703 | Total 79.4886
Epoch 00001 | NCE 66.6172 | KOOP 0.0000 | τ 0.0705 | Total 66.6172
Epoch 00002 | NCE 59.6098 | KOOP 0.0000 | τ 0.0708 | Total 59.6098
Epoch 00003 | NCE 54.2764 | KOOP 0.0000 | τ 0.0709 | Total 54.2764
Epoch 00004 | NCE 50.7749 | KOOP 0.0000 | τ 0.0710 | Total 50.7749
Epoch 00005 | NCE 48.8464 | KOOP 0.0000 | τ 0.0710 | Total 48.8464
Epoch 00006 | NCE 46.0792 | KOOP 0.0000 | τ 0.0709 | Total 46.0792
Epoch 00007 | NCE 41.3410 | KOOP 0.0000 | τ 0.0708 | Total 41.3410
Epoch 00008 | NCE 42.1001 | KOOP 0.0000 | τ 0.0707 | Total 42.1001
Epoch 00009 | NCE 40.2587 | KOOP 0.0000 | τ 0.0706 | Total 40.2587
Epoch 00010 | NCE 37.7306 | KOOP 0.0000 | τ 0.0704 | Total 37.7306
Epoch 00011 | NCE 35.7435 | KOOP 0.0000 | τ 0.0702 | Total 35.7435
Epoch 00012 | NCE 34.7665 | KOOP 0.0000 | τ 0.0700 | Total 34.7665
Epoch 00013 | NCE 31.4144 | KOOP 0.0000 | τ 0.0698 | Total 31.4144
Epoch 00014 | NCE 32.7080 | KOOP 0.0000 | τ 0.0696 | Total 32.7080
Epoch 00015 | NCE 31.2589 | KOOP 0.0000 | τ 0.0694 | Total 31.2589
Epoch 00016 | NCE 30.4315 | KOOP 0.0000 | τ 0.0692 | Total 30.4315
Epoch 00017 | NCE 29.8340 | KOOP 0.0000 | τ 0.0690 | Total 29.8340
Epoch 00018 | NCE 28.7714 | KOOP 0.0000 | τ 0.0687 | Total 28.7714
Epoch 00019 | NCE 27.2069 | KOOP 0.0000 | τ 0.0685 | Total 27.2069
Epoch 00020 | NCE 25.8617 | KOOP 0.0000 | τ 0.0683 | Total 25.8617
Epoch 00021 | NCE 24.7454 | KOOP 0.0000 | τ 0.0680 | Total 24.7454
Epoch 00022 | NCE 25.0855 | KOOP 0.0000 | τ 0.0678 | Total 25.0855
Epoch 00023 | NCE 24.8465 | KOOP 0.0000 | τ 0.0676 | Total 24.8465
Epoch 00024 | NCE 23.5086 | KOOP 0.0000 | τ 0.0673 | Total 23.5086
Epoch 00025 | NCE 22.2667 | KOOP 0.0000 | τ 0.0670 | Total 22.2667
Epoch 00026 | NCE 21.8199 | KOOP 0.0000 | τ 0.0668 | Total 21.8199
Epoch 00027 | NCE 21.7407 | KOOP 0.0000 | τ 0.0665 | Total 21.7407
Epoch 00028 | NCE 22.0535 | KOOP 0.0000 | τ 0.0663 | Total 22.0535
Epoch 00029 | NCE 21.2115 | KOOP 0.0000 | τ 0.0660 | Total 21.2115
Epoch 00030 | NCE 19.4147 | KOOP 0.0000 | τ 0.0657 | Total 19.4147
Epoch 00031 | NCE 19.4242 | KOOP 0.0000 | τ 0.0655 | Total 19.4242
