/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=24 dataset=dblp task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (25387 nodes) → mini-batch sampler fanout=[20, 20]

[KAIROS] Backbone: gat
Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 73.6347 | KOOP 0.0000 | τ 0.2000 | Total 73.6347
Epoch 00001 | NCE 68.0597 | KOOP 0.0000 | τ 0.2000 | Total 68.0597
Epoch 00002 | NCE 64.2471 | KOOP 0.0000 | τ 0.2000 | Total 64.2471
Epoch 00003 | NCE 60.1919 | KOOP 0.0000 | τ 0.2000 | Total 60.1919
Epoch 00004 | NCE 58.1336 | KOOP 0.0000 | τ 0.2000 | Total 58.1336
Epoch 00005 | NCE 55.8161 | KOOP 0.0000 | τ 0.2000 | Total 55.8161
Epoch 00006 | NCE 53.5576 | KOOP 0.0000 | τ 0.2000 | Total 53.5576
Epoch 00007 | NCE 52.5847 | KOOP 0.0000 | τ 0.2000 | Total 52.5847
Epoch 00008 | NCE 51.4932 | KOOP 0.0000 | τ 0.2000 | Total 51.4932
Epoch 00009 | NCE 50.4608 | KOOP 0.0000 | τ 0.2000 | Total 50.4608
Epoch 00010 | NCE 48.8922 | KOOP 0.0000 | τ 0.2000 | Total 48.8922
Epoch 00011 | NCE 48.0382 | KOOP 0.0000 | τ 0.2000 | Total 48.0382
Epoch 00012 | NCE 47.2661 | KOOP 0.0000 | τ 0.2000 | Total 47.2661
Epoch 00013 | NCE 46.6710 | KOOP 0.0000 | τ 0.2000 | Total 46.6710
Epoch 00014 | NCE 46.7792 | KOOP 0.0000 | τ 0.2000 | Total 46.7792
Epoch 00015 | NCE 45.4193 | KOOP 0.0000 | τ 0.2000 | Total 45.4193
Epoch 00016 | NCE 44.4062 | KOOP 0.0000 | τ 0.2000 | Total 44.4062
