/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=99 dataset=dblp task=classification
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (25387 nodes) → mini-batch sampler fanout=[20, 20]

Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 78.4769 | KOOP 0.0000 | τ 0.5000 | Total 78.4769
Epoch 00001 | NCE 75.6812 | KOOP 0.0000 | τ 0.5000 | Total 75.6812
Epoch 00002 | NCE 72.8250 | KOOP 0.0000 | τ 0.5000 | Total 72.8250
Epoch 00003 | NCE 70.7659 | KOOP 0.0000 | τ 0.5000 | Total 70.7659
Epoch 00004 | NCE 68.8547 | KOOP 0.0000 | τ 0.5000 | Total 68.8547
Epoch 00005 | NCE 67.8158 | KOOP 0.0000 | τ 0.5000 | Total 67.8158
Epoch 00006 | NCE 66.4998 | KOOP 0.0000 | τ 0.5000 | Total 66.4998
Epoch 00007 | NCE 65.8596 | KOOP 0.0000 | τ 0.5000 | Total 65.8596
Epoch 00008 | NCE 65.0143 | KOOP 0.0000 | τ 0.5000 | Total 65.0143
Epoch 00009 | NCE 64.9257 | KOOP 0.0000 | τ 0.5000 | Total 64.9257
Epoch 00010 | NCE 64.7000 | KOOP 0.0000 | τ 0.5000 | Total 64.7000
Epoch 00011 | NCE 63.7722 | KOOP 0.0000 | τ 0.5000 | Total 63.7722
Epoch 00012 | NCE 63.2490 | KOOP 0.0000 | τ 0.5000 | Total 63.2490
Epoch 00013 | NCE 62.6144 | KOOP 0.0000 | τ 0.5000 | Total 62.6144
Epoch 00014 | NCE 62.8521 | KOOP 0.0000 | τ 0.5000 | Total 62.8521
Epoch 00015 | NCE 62.7679 | KOOP 0.0000 | τ 0.5000 | Total 62.7679
Epoch 00016 | NCE 62.2932 | KOOP 0.0000 | τ 0.5000 | Total 62.2932
Epoch 00017 | NCE 62.4093 | KOOP 0.0000 | τ 0.5000 | Total 62.4093
Epoch 00018 | NCE 61.9428 | KOOP 0.0000 | τ 0.5000 | Total 61.9428
Epoch 00019 | NCE 61.6728 | KOOP 0.0000 | τ 0.5000 | Total 61.6728
Epoch 00020 | NCE 61.8924 | KOOP 0.0000 | τ 0.5000 | Total 61.8924
Epoch 00021 | NCE 61.6726 | KOOP 0.0000 | τ 0.5000 | Total 61.6726
Epoch 00022 | NCE 61.2593 | KOOP 0.0000 | τ 0.5000 | Total 61.2593
Epoch 00023 | NCE 61.4183 | KOOP 0.0000 | τ 0.5000 | Total 61.4183
Epoch 00024 | NCE 61.4154 | KOOP 0.0000 | τ 0.5000 | Total 61.4154
Epoch 00025 | NCE 61.1913 | KOOP 0.0000 | τ 0.5000 | Total 61.1913
Epoch 00026 | NCE 61.4636 | KOOP 0.0000 | τ 0.5000 | Total 61.4636
Epoch 00027 | NCE 61.3659 | KOOP 0.0000 | τ 0.5000 | Total 61.3659
Epoch 00028 | NCE 60.9724 | KOOP 0.0000 | τ 0.5000 | Total 60.9724
Epoch 00029 | NCE 60.8811 | KOOP 0.0000 | τ 0.5000 | Total 60.8811
Epoch 00030 | NCE 60.8102 | KOOP 0.0000 | τ 0.5000 | Total 60.8102
Epoch 00031 | NCE 60.8028 | KOOP 0.0000 | τ 0.5000 | Total 60.8028
Epoch 00032 | NCE 61.0664 | KOOP 0.0000 | τ 0.5000 | Total 61.0664
Epoch 00033 | NCE 60.6557 | KOOP 0.0000 | τ 0.5000 | Total 60.6557
Epoch 00034 | NCE 60.4619 | KOOP 0.0000 | τ 0.5000 | Total 60.4619
Epoch 00035 | NCE 60.6007 | KOOP 0.0000 | τ 0.5000 | Total 60.6007
Epoch 00036 | NCE 60.4943 | KOOP 0.0000 | τ 0.5000 | Total 60.4943
Epoch 00037 | NCE 60.2026 | KOOP 0.0000 | τ 0.5000 | Total 60.2026
Epoch 00038 | NCE 60.3003 | KOOP 0.0000 | τ 0.5000 | Total 60.3003
Epoch 00039 | NCE 60.3429 | KOOP 0.0000 | τ 0.5000 | Total 60.3429
Epoch 00040 | NCE 60.1071 | KOOP 0.0000 | τ 0.5000 | Total 60.1071
Epoch 00041 | NCE 60.2095 | KOOP 0.0000 | τ 0.5000 | Total 60.2095
Epoch 00042 | NCE 60.0395 | KOOP 0.0000 | τ 0.5000 | Total 60.0395
Epoch 00043 | NCE 60.1617 | KOOP 0.0000 | τ 0.5000 | Total 60.1617
Epoch 00044 | NCE 59.9374 | KOOP 0.0000 | τ 0.5000 | Total 59.9374
Epoch 00045 | NCE 59.8756 | KOOP 0.0000 | τ 0.5000 | Total 59.8756
Epoch 00046 | NCE 59.7547 | KOOP 0.0000 | τ 0.5000 | Total 59.7547
Epoch 00047 | NCE 59.8636 | KOOP 0.0000 | τ 0.5000 | Total 59.8636
Epoch 00048 | NCE 59.6035 | KOOP 0.0000 | τ 0.5000 | Total 59.6035
Epoch 00049 | NCE 59.8625 | KOOP 0.0000 | τ 0.5000 | Total 59.8625
Epoch 00050 | NCE 59.8583 | KOOP 0.0000 | τ 0.5000 | Total 59.8583
Epoch 00051 | NCE 59.7329 | KOOP 0.0000 | τ 0.5000 | Total 59.7329
Epoch 00052 | NCE 59.4962 | KOOP 0.0000 | τ 0.5000 | Total 59.4962
Epoch 00053 | NCE 59.4387 | KOOP 0.0000 | τ 0.5000 | Total 59.4387
