/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=42 dataset=dblp task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (25387 nodes) → mini-batch sampler fanout=[20, 20]

[KAIROS] Backbone: gcn
Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 76.2732 | KOOP 0.0000 | τ 0.5000 | Total 76.2732
Epoch 00001 | NCE 73.7133 | KOOP 0.0000 | τ 0.5000 | Total 73.7133
Epoch 00002 | NCE 70.7460 | KOOP 0.0000 | τ 0.5000 | Total 70.7460
Epoch 00003 | NCE 68.7555 | KOOP 0.0000 | τ 0.5000 | Total 68.7555
Epoch 00004 | NCE 66.9199 | KOOP 0.0000 | τ 0.5000 | Total 66.9199
Epoch 00005 | NCE 66.1947 | KOOP 0.0000 | τ 0.5000 | Total 66.1947
Epoch 00006 | NCE 65.0509 | KOOP 0.0000 | τ 0.5000 | Total 65.0509
Epoch 00007 | NCE 64.7841 | KOOP 0.0000 | τ 0.5000 | Total 64.7841
Epoch 00008 | NCE 64.7061 | KOOP 0.0000 | τ 0.5000 | Total 64.7061
Epoch 00009 | NCE 63.6987 | KOOP 0.0000 | τ 0.5000 | Total 63.6987
Epoch 00010 | NCE 63.9196 | KOOP 0.0000 | τ 0.5000 | Total 63.9196
Epoch 00011 | NCE 63.2168 | KOOP 0.0000 | τ 0.5000 | Total 63.2168
Epoch 00012 | NCE 63.3837 | KOOP 0.0000 | τ 0.5000 | Total 63.3837
Epoch 00013 | NCE 62.8788 | KOOP 0.0000 | τ 0.5000 | Total 62.8788
Epoch 00014 | NCE 62.6381 | KOOP 0.0000 | τ 0.5000 | Total 62.6381
Epoch 00015 | NCE 62.2522 | KOOP 0.0000 | τ 0.5000 | Total 62.2522
Epoch 00016 | NCE 62.7391 | KOOP 0.0000 | τ 0.5000 | Total 62.7391
Epoch 00017 | NCE 62.0296 | KOOP 0.0000 | τ 0.5000 | Total 62.0296
Epoch 00018 | NCE 62.0448 | KOOP 0.0000 | τ 0.5000 | Total 62.0448
Epoch 00019 | NCE 62.7044 | KOOP 0.0000 | τ 0.5000 | Total 62.7044
Epoch 00020 | NCE 62.3709 | KOOP 0.0000 | τ 0.5000 | Total 62.3709
Epoch 00021 | NCE 62.2596 | KOOP 0.0000 | τ 0.5000 | Total 62.2596
Epoch 00022 | NCE 62.0083 | KOOP 0.0000 | τ 0.5000 | Total 62.0083
Epoch 00023 | NCE 61.4756 | KOOP 0.0000 | τ 0.5000 | Total 61.4756
Epoch 00024 | NCE 62.2636 | KOOP 0.0000 | τ 0.5000 | Total 62.2636
Epoch 00025 | NCE 62.0443 | KOOP 0.0000 | τ 0.5000 | Total 62.0443
Epoch 00026 | NCE 61.6926 | KOOP 0.0000 | τ 0.5000 | Total 61.6926
Epoch 00027 | NCE 61.8847 | KOOP 0.0000 | τ 0.5000 | Total 61.8847
Epoch 00028 | NCE 61.3665 | KOOP 0.0000 | τ 0.5000 | Total 61.3665
Epoch 00029 | NCE 61.9669 | KOOP 0.0000 | τ 0.5000 | Total 61.9669
Epoch 00030 | NCE 61.5104 | KOOP 0.0000 | τ 0.5000 | Total 61.5104
Epoch 00031 | NCE 61.5217 | KOOP 0.0000 | τ 0.5000 | Total 61.5217
Epoch 00032 | NCE 61.3335 | KOOP 0.0000 | τ 0.5000 | Total 61.3335
Epoch 00033 | NCE 61.0559 | KOOP 0.0000 | τ 0.5000 | Total 61.0559
Epoch 00034 | NCE 61.2587 | KOOP 0.0000 | τ 0.5000 | Total 61.2587
Epoch 00035 | NCE 61.4607 | KOOP 0.0000 | τ 0.5000 | Total 61.4607
Epoch 00036 | NCE 61.1867 | KOOP 0.0000 | τ 0.5000 | Total 61.1867
Epoch 00037 | NCE 61.5082 | KOOP 0.0000 | τ 0.5000 | Total 61.5082
Epoch 00038 | NCE 61.2070 | KOOP 0.0000 | τ 0.5000 | Total 61.2070
Epoch 00039 | NCE 61.9477 | KOOP 0.0000 | τ 0.5000 | Total 61.9477
Epoch 00040 | NCE 61.0324 | KOOP 0.0000 | τ 0.5000 | Total 61.0324
Epoch 00041 | NCE 61.4348 | KOOP 0.0000 | τ 0.5000 | Total 61.4348
Epoch 00042 | NCE 61.2553 | KOOP 0.0000 | τ 0.5000 | Total 61.2553
Epoch 00043 | NCE 61.5423 | KOOP 0.0000 | τ 0.5000 | Total 61.5423
Epoch 00044 | NCE 60.6913 | KOOP 0.0000 | τ 0.5000 | Total 60.6913
Epoch 00045 | NCE 60.9528 | KOOP 0.0000 | τ 0.5000 | Total 60.9528
Epoch 00046 | NCE 61.1832 | KOOP 0.0000 | τ 0.5000 | Total 61.1832
Epoch 00047 | NCE 61.2638 | KOOP 0.0000 | τ 0.5000 | Total 61.2638
Epoch 00048 | NCE 61.2714 | KOOP 0.0000 | τ 0.5000 | Total 61.2714
Epoch 00049 | NCE 60.9704 | KOOP 0.0000 | τ 0.5000 | Total 60.9704
Epoch 00050 | NCE 61.0097 | KOOP 0.0000 | τ 0.5000 | Total 61.0097
Epoch 00051 | NCE 61.0005 | KOOP 0.0000 | τ 0.5000 | Total 61.0005
Epoch 00052 | NCE 60.9660 | KOOP 0.0000 | τ 0.5000 | Total 60.9660
Epoch 00053 | NCE 61.2507 | KOOP 0.0000 | τ 0.5000 | Total 61.2507
Epoch 00054 | NCE 60.6816 | KOOP 0.0000 | τ 0.5000 | Total 60.6816
Epoch 00055 | NCE 60.9732 | KOOP 0.0000 | τ 0.5000 | Total 60.9732
Epoch 00056 | NCE 60.9376 | KOOP 0.0000 | τ 0.5000 | Total 60.9376
Epoch 00057 | NCE 60.8995 | KOOP 0.0000 | τ 0.5000 | Total 60.8995
Epoch 00058 | NCE 60.9006 | KOOP 0.0000 | τ 0.5000 | Total 60.9006
Epoch 00059 | NCE 60.7501 | KOOP 0.0000 | τ 0.5000 | Total 60.7501
Epoch 00060 | NCE 60.7407 | KOOP 0.0000 | τ 0.5000 | Total 60.7407
Epoch 00061 | NCE 61.0750 | KOOP 0.0000 | τ 0.5000 | Total 61.0750
Epoch 00062 | NCE 60.8311 | KOOP 0.0000 | τ 0.5000 | Total 60.8311
Epoch 00063 | NCE 60.6059 | KOOP 0.0000 | τ 0.5000 | Total 60.6059
Epoch 00064 | NCE 60.9164 | KOOP 0.0000 | τ 0.5000 | Total 60.9164
Epoch 00065 | NCE 60.5342 | KOOP 0.0000 | τ 0.5000 | Total 60.5342
Epoch 00066 | NCE 60.9841 | KOOP 0.0000 | τ 0.5000 | Total 60.9841
Epoch 00067 | NCE 60.8041 | KOOP 0.0000 | τ 0.5000 | Total 60.8041
Epoch 00068 | NCE 60.5722 | KOOP 0.0000 | τ 0.5000 | Total 60.5722
Epoch 00069 | NCE 60.4947 | KOOP 0.0000 | τ 0.5000 | Total 60.4947
Epoch 00070 | NCE 60.9015 | KOOP 0.0000 | τ 0.5000 | Total 60.9015
Epoch 00071 | NCE 60.5747 | KOOP 0.0000 | τ 0.5000 | Total 60.5747
Epoch 00072 | NCE 60.2842 | KOOP 0.0000 | τ 0.5000 | Total 60.2842
Epoch 00073 | NCE 60.5809 | KOOP 0.0000 | τ 0.5000 | Total 60.5809
Epoch 00074 | NCE 60.3631 | KOOP 0.0000 | τ 0.5000 | Total 60.3631
Epoch 00075 | NCE 60.3477 | KOOP 0.0000 | τ 0.5000 | Total 60.3477
Epoch 00076 | NCE 60.8658 | KOOP 0.0000 | τ 0.5000 | Total 60.8658
Epoch 00077 | NCE 60.3483 | KOOP 0.0000 | τ 0.5000 | Total 60.3483
Epoch 00078 | NCE 60.8783 | KOOP 0.0000 | τ 0.5000 | Total 60.8783
Epoch 00079 | NCE 60.4400 | KOOP 0.0000 | τ 0.5000 | Total 60.4400
Epoch 00080 | NCE 60.5839 | KOOP 0.0000 | τ 0.5000 | Total 60.5839
Epoch 00081 | NCE 60.5526 | KOOP 0.0000 | τ 0.5000 | Total 60.5526
Epoch 00082 | NCE 60.4440 | KOOP 0.0000 | τ 0.5000 | Total 60.4440
Epoch 00083 | NCE 60.6927 | KOOP 0.0000 | τ 0.5000 | Total 60.6927
Epoch 00084 | NCE 60.1259 | KOOP 0.0000 | τ 0.5000 | Total 60.1259
Epoch 00085 | NCE 59.9317 | KOOP 0.0000 | τ 0.5000 | Total 59.9317
Epoch 00086 | NCE 60.3792 | KOOP 0.0000 | τ 0.5000 | Total 60.3792
Epoch 00087 | NCE 60.5757 | KOOP 0.0000 | τ 0.5000 | Total 60.5757
Epoch 00088 | NCE 60.0614 | KOOP 0.0000 | τ 0.5000 | Total 60.0614
Epoch 00089 | NCE 60.3082 | KOOP 0.0000 | τ 0.5000 | Total 60.3082
