/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=no_koop_anomaly seed=24 dataset=dblp task=anomaly_detection
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
Constructing structural anomaly nodes...
Done. 300 structural nodes (4500 edges)

Constructing attribute anomaly nodes...
Done. 300 attribute anomaly nodes

[KAIROS] Large graph (25387 nodes) → mini-batch sampler fanout=[20, 20]

Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 82.1979 | KOOP 0.0000 | τ 0.0703 | Total 82.1979
Epoch 00001 | NCE 66.5566 | KOOP 0.0000 | τ 0.0705 | Total 66.5566
Epoch 00002 | NCE 61.3718 | KOOP 0.0000 | τ 0.0708 | Total 61.3718
Epoch 00003 | NCE 57.7195 | KOOP 0.0000 | τ 0.0710 | Total 57.7195
Epoch 00004 | NCE 51.1798 | KOOP 0.0000 | τ 0.0712 | Total 51.1798
Epoch 00005 | NCE 47.7046 | KOOP 0.0000 | τ 0.0712 | Total 47.7046
Epoch 00006 | NCE 47.9602 | KOOP 0.0000 | τ 0.0712 | Total 47.9602
Epoch 00007 | NCE 43.9174 | KOOP 0.0000 | τ 0.0712 | Total 43.9174
Epoch 00008 | NCE 42.8065 | KOOP 0.0000 | τ 0.0711 | Total 42.8065
Epoch 00009 | NCE 40.1183 | KOOP 0.0000 | τ 0.0710 | Total 40.1183
Epoch 00010 | NCE 38.1626 | KOOP 0.0000 | τ 0.0708 | Total 38.1626
Epoch 00011 | NCE 37.2773 | KOOP 0.0000 | τ 0.0707 | Total 37.2773
Epoch 00012 | NCE 35.6466 | KOOP 0.0000 | τ 0.0705 | Total 35.6466
Epoch 00013 | NCE 34.5983 | KOOP 0.0000 | τ 0.0703 | Total 34.5983
Epoch 00014 | NCE 32.1860 | KOOP 0.0000 | τ 0.0701 | Total 32.1860
Epoch 00015 | NCE 31.8895 | KOOP 0.0000 | τ 0.0699 | Total 31.8895
Epoch 00016 | NCE 32.0302 | KOOP 0.0000 | τ 0.0697 | Total 32.0302
Epoch 00017 | NCE 29.4022 | KOOP 0.0000 | τ 0.0695 | Total 29.4022
Epoch 00018 | NCE 29.4018 | KOOP 0.0000 | τ 0.0693 | Total 29.4018
Epoch 00019 | NCE 26.4141 | KOOP 0.0000 | τ 0.0691 | Total 26.4141
Epoch 00020 | NCE 26.5309 | KOOP 0.0000 | τ 0.0689 | Total 26.5309
Epoch 00021 | NCE 27.6179 | KOOP 0.0000 | τ 0.0687 | Total 27.6179
Epoch 00022 | NCE 25.9603 | KOOP 0.0000 | τ 0.0684 | Total 25.9603
Epoch 00023 | NCE 23.9638 | KOOP 0.0000 | τ 0.0682 | Total 23.9638
Epoch 00024 | NCE 23.6632 | KOOP 0.0000 | τ 0.0680 | Total 23.6632
Epoch 00025 | NCE 22.0979 | KOOP 0.0000 | τ 0.0677 | Total 22.0979
Epoch 00026 | NCE 23.3746 | KOOP 0.0000 | τ 0.0675 | Total 23.3746
Epoch 00027 | NCE 21.5507 | KOOP 0.0000 | τ 0.0673 | Total 21.5507
Epoch 00028 | NCE 22.2050 | KOOP 0.0000 | τ 0.0670 | Total 22.2050
Epoch 00029 | NCE 20.1947 | KOOP 0.0000 | τ 0.0668 | Total 20.1947
Epoch 00030 | NCE 18.8035 | KOOP 0.0000 | τ 0.0665 | Total 18.8035
Epoch 00031 | NCE 20.1809 | KOOP 0.0000 | τ 0.0662 | Total 20.1809
