/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=7 dataset=dblp task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (25387 nodes) → mini-batch sampler fanout=[20, 20]

[KAIROS] Backbone: sage
Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 74.3469 | KOOP 0.0000 | τ 0.5000 | Total 74.3469
Epoch 00001 | NCE 71.0341 | KOOP 0.0000 | τ 0.5000 | Total 71.0341
Epoch 00002 | NCE 68.5534 | KOOP 0.0000 | τ 0.5000 | Total 68.5534
Epoch 00003 | NCE 66.6502 | KOOP 0.0000 | τ 0.5000 | Total 66.6502
Epoch 00004 | NCE 65.8755 | KOOP 0.0000 | τ 0.5000 | Total 65.8755
Epoch 00005 | NCE 64.8510 | KOOP 0.0000 | τ 0.5000 | Total 64.8510
Epoch 00006 | NCE 63.9321 | KOOP 0.0000 | τ 0.5000 | Total 63.9321
Epoch 00007 | NCE 62.8733 | KOOP 0.0000 | τ 0.5000 | Total 62.8733
Epoch 00008 | NCE 62.7745 | KOOP 0.0000 | τ 0.5000 | Total 62.7745
Epoch 00009 | NCE 62.3194 | KOOP 0.0000 | τ 0.5000 | Total 62.3194
Epoch 00010 | NCE 61.6691 | KOOP 0.0000 | τ 0.5000 | Total 61.6691
Epoch 00011 | NCE 61.5473 | KOOP 0.0000 | τ 0.5000 | Total 61.5473
Epoch 00012 | NCE 61.0315 | KOOP 0.0000 | τ 0.5000 | Total 61.0315
Epoch 00013 | NCE 60.7491 | KOOP 0.0000 | τ 0.5000 | Total 60.7491
Epoch 00014 | NCE 60.7703 | KOOP 0.0000 | τ 0.5000 | Total 60.7703
Epoch 00015 | NCE 60.5199 | KOOP 0.0000 | τ 0.5000 | Total 60.5199
Epoch 00016 | NCE 60.7095 | KOOP 0.0000 | τ 0.5000 | Total 60.7095
Epoch 00017 | NCE 60.0369 | KOOP 0.0000 | τ 0.5000 | Total 60.0369
Epoch 00018 | NCE 60.1701 | KOOP 0.0000 | τ 0.5000 | Total 60.1701
Epoch 00019 | NCE 60.0512 | KOOP 0.0000 | τ 0.5000 | Total 60.0512
