/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=42 dataset=dblp task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (25387 nodes) → mini-batch sampler fanout=[20, 20]

[KAIROS] Backbone: sgc
Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 75.9715 | KOOP 0.0000 | τ 0.5000 | Total 75.9715
Epoch 00001 | NCE 72.5602 | KOOP 0.0000 | τ 0.5000 | Total 72.5602
Epoch 00002 | NCE 69.9132 | KOOP 0.0000 | τ 0.5000 | Total 69.9132
Epoch 00003 | NCE 68.2593 | KOOP 0.0000 | τ 0.5000 | Total 68.2593
Epoch 00004 | NCE 66.7891 | KOOP 0.0000 | τ 0.5000 | Total 66.7891
Epoch 00005 | NCE 66.1749 | KOOP 0.0000 | τ 0.5000 | Total 66.1749
Epoch 00006 | NCE 64.9547 | KOOP 0.0000 | τ 0.5000 | Total 64.9547
Epoch 00007 | NCE 64.6533 | KOOP 0.0000 | τ 0.5000 | Total 64.6533
Epoch 00008 | NCE 64.6992 | KOOP 0.0000 | τ 0.5000 | Total 64.6992
Epoch 00009 | NCE 63.6911 | KOOP 0.0000 | τ 0.5000 | Total 63.6911
Epoch 00010 | NCE 63.8893 | KOOP 0.0000 | τ 0.5000 | Total 63.8893
Epoch 00011 | NCE 63.1273 | KOOP 0.0000 | τ 0.5000 | Total 63.1273
Epoch 00012 | NCE 63.1642 | KOOP 0.0000 | τ 0.5000 | Total 63.1642
Epoch 00013 | NCE 62.7447 | KOOP 0.0000 | τ 0.5000 | Total 62.7447
Epoch 00014 | NCE 62.5802 | KOOP 0.0000 | τ 0.5000 | Total 62.5802
Epoch 00015 | NCE 62.2962 | KOOP 0.0000 | τ 0.5000 | Total 62.2962
Epoch 00016 | NCE 62.5238 | KOOP 0.0000 | τ 0.5000 | Total 62.5238
Epoch 00017 | NCE 61.7831 | KOOP 0.0000 | τ 0.5000 | Total 61.7831
Epoch 00018 | NCE 61.8901 | KOOP 0.0000 | τ 0.5000 | Total 61.8901
Epoch 00019 | NCE 62.2898 | KOOP 0.0000 | τ 0.5000 | Total 62.2898
Epoch 00020 | NCE 62.0797 | KOOP 0.0000 | τ 0.5000 | Total 62.0797
Epoch 00021 | NCE 62.0280 | KOOP 0.0000 | τ 0.5000 | Total 62.0280
Epoch 00022 | NCE 61.5974 | KOOP 0.0000 | τ 0.5000 | Total 61.5974
Epoch 00023 | NCE 61.2117 | KOOP 0.0000 | τ 0.5000 | Total 61.2117
Epoch 00024 | NCE 61.8302 | KOOP 0.0000 | τ 0.5000 | Total 61.8302
Epoch 00025 | NCE 61.8395 | KOOP 0.0000 | τ 0.5000 | Total 61.8395
Epoch 00026 | NCE 61.1111 | KOOP 0.0000 | τ 0.5000 | Total 61.1111
Epoch 00027 | NCE 61.5694 | KOOP 0.0000 | τ 0.5000 | Total 61.5694
Epoch 00028 | NCE 61.1566 | KOOP 0.0000 | τ 0.5000 | Total 61.1566
