/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[ablate] mode=fixed_tau seed=7 dataset=mooc task=anomaly_detection
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
Constructing structural anomaly nodes...
Done. 300 structural nodes (4500 edges)

Constructing attribute anomaly nodes...
Done. 300 attribute anomaly nodes

[KAIROS] Small graph (7144 nodes) → full-neighbour training sampler

[KAIROS] Backbone: gat
Training 100 epochs | 4 views | λ_koop=1.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 79.8314 | KOOP 0.1416 | τ 0.5000 | Total 79.9729
Epoch 00001 | NCE 78.0295 | KOOP 0.1089 | τ 0.5000 | Total 78.1383
Epoch 00002 | NCE 74.7635 | KOOP 0.0728 | τ 0.5000 | Total 74.8363
Epoch 00003 | NCE 71.8937 | KOOP 0.0476 | τ 0.5000 | Total 71.9413
Epoch 00004 | NCE 71.5920 | KOOP 0.0405 | τ 0.5000 | Total 71.6324
Epoch 00005 | NCE 70.1730 | KOOP 0.0408 | τ 0.5000 | Total 70.2138
Epoch 00006 | NCE 69.5411 | KOOP 0.0342 | τ 0.5000 | Total 69.5753
Epoch 00007 | NCE 69.4897 | KOOP 0.0315 | τ 0.5000 | Total 69.5212
Epoch 00008 | NCE 68.0962 | KOOP 0.0326 | τ 0.5000 | Total 68.1288
Epoch 00009 | NCE 68.8524 | KOOP 0.0328 | τ 0.5000 | Total 68.8852
Epoch 00010 | NCE 67.6034 | KOOP 0.0206 | τ 0.5000 | Total 67.6239
Epoch 00011 | NCE 66.7095 | KOOP 0.0162 | τ 0.5000 | Total 66.7257
Epoch 00012 | NCE 67.4117 | KOOP 0.0264 | τ 0.5000 | Total 67.4381
Epoch 00013 | NCE 66.4067 | KOOP 0.0251 | τ 0.5000 | Total 66.4318
Epoch 00014 | NCE 66.2507 | KOOP 0.0225 | τ 0.5000 | Total 66.2733
Epoch 00015 | NCE 66.5262 | KOOP 0.0247 | τ 0.5000 | Total 66.5510
Epoch 00016 | NCE 66.5262 | KOOP 0.0277 | τ 0.5000 | Total 66.5540
Epoch 00017 | NCE 65.9822 | KOOP 0.0281 | τ 0.5000 | Total 66.0103
Epoch 00018 | NCE 65.4441 | KOOP 0.0219 | τ 0.5000 | Total 65.4660
Epoch 00019 | NCE 64.9209 | KOOP 0.0155 | τ 0.5000 | Total 64.9365
Epoch 00020 | NCE 64.6281 | KOOP 0.0202 | τ 0.5000 | Total 64.6483
Epoch 00021 | NCE 64.8940 | KOOP 0.0251 | τ 0.5000 | Total 64.9192
Epoch 00022 | NCE 64.4231 | KOOP 0.0171 | τ 0.5000 | Total 64.4403
Epoch 00023 | NCE 64.0351 | KOOP 0.0234 | τ 0.5000 | Total 64.0585
Epoch 00024 | NCE 63.4081 | KOOP 0.0123 | τ 0.5000 | Total 63.4204
Epoch 00025 | NCE 63.6487 | KOOP 0.0133 | τ 0.5000 | Total 63.6620
