/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[ablate] mode=fixed_tau seed=24 dataset=mooc task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (7144 nodes) → full-neighbour training sampler

[KAIROS] Backbone: gcn
Training 100 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 77.6501 | KOOP 0.0000 | τ 0.5000 | Total 77.6501
Epoch 00001 | NCE 70.7041 | KOOP 0.0000 | τ 0.5000 | Total 70.7041
Epoch 00002 | NCE 72.7394 | KOOP 0.0000 | τ 0.5000 | Total 72.7394
Epoch 00003 | NCE 70.4163 | KOOP 0.0000 | τ 0.5000 | Total 70.4163
Epoch 00004 | NCE 69.8856 | KOOP 0.0000 | τ 0.5000 | Total 69.8856
Epoch 00005 | NCE 70.1789 | KOOP 0.0000 | τ 0.5000 | Total 70.1789
Epoch 00006 | NCE 67.8525 | KOOP 0.0000 | τ 0.5000 | Total 67.8525
Epoch 00007 | NCE 72.2350 | KOOP 0.0000 | τ 0.5000 | Total 72.2350
Epoch 00008 | NCE 68.0887 | KOOP 0.0000 | τ 0.5000 | Total 68.0887
Epoch 00009 | NCE 70.4798 | KOOP 0.0000 | τ 0.5000 | Total 70.4798
Epoch 00010 | NCE 69.2031 | KOOP 0.0000 | τ 0.5000 | Total 69.2031
Epoch 00011 | NCE 67.4748 | KOOP 0.0000 | τ 0.5000 | Total 67.4748
Epoch 00012 | NCE 67.7555 | KOOP 0.0000 | τ 0.5000 | Total 67.7555
Epoch 00013 | NCE 68.4440 | KOOP 0.0000 | τ 0.5000 | Total 68.4440
Epoch 00014 | NCE 67.7599 | KOOP 0.0000 | τ 0.5000 | Total 67.7599
Epoch 00015 | NCE 68.8341 | KOOP 0.0000 | τ 0.5000 | Total 68.8341
Epoch 00016 | NCE 67.4443 | KOOP 0.0000 | τ 0.5000 | Total 67.4443
Epoch 00017 | NCE 68.1165 | KOOP 0.0000 | τ 0.5000 | Total 68.1165
Epoch 00018 | NCE 65.4108 | KOOP 0.0000 | τ 0.5000 | Total 65.4108
Epoch 00019 | NCE 67.3766 | KOOP 0.0000 | τ 0.5000 | Total 67.3766
Epoch 00020 | NCE 66.0944 | KOOP 0.0000 | τ 0.5000 | Total 66.0944
Epoch 00021 | NCE 66.8682 | KOOP 0.0000 | τ 0.5000 | Total 66.8682
Epoch 00022 | NCE 63.4907 | KOOP 0.0000 | τ 0.5000 | Total 63.4907
Epoch 00023 | NCE 66.6380 | KOOP 0.0000 | τ 0.5000 | Total 66.6380
Epoch 00024 | NCE 63.2191 | KOOP 0.0000 | τ 0.5000 | Total 63.2191
Epoch 00025 | NCE 64.8389 | KOOP 0.0000 | τ 0.5000 | Total 64.8389
