/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=none seed=99 dataset=tax51 task=classification
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (132524 nodes) → mini-batch sampler fanout=[20, 20]

Training 200 epochs | 5 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 118.4294 | KOOP 0.0000 | τ 0.0703 | Total 118.4294
Epoch 00001 | NCE 109.7989 | KOOP 0.0000 | τ 0.0706 | Total 109.7989
Epoch 00002 | NCE 97.4617 | KOOP 0.0000 | τ 0.0708 | Total 97.4617
Epoch 00003 | NCE 98.8464 | KOOP 0.0000 | τ 0.0710 | Total 98.8464
Epoch 00004 | NCE 88.1114 | KOOP 0.0000 | τ 0.0712 | Total 88.1114
Epoch 00005 | NCE 84.9138 | KOOP 0.0000 | τ 0.0713 | Total 84.9138
Epoch 00006 | NCE 83.7943 | KOOP 0.0000 | τ 0.0713 | Total 83.7943
Epoch 00007 | NCE 80.9245 | KOOP 0.0000 | τ 0.0713 | Total 80.9245
Epoch 00008 | NCE 69.1870 | KOOP 0.0000 | τ 0.0712 | Total 69.1870
Epoch 00009 | NCE 74.7283 | KOOP 0.0000 | τ 0.0711 | Total 74.7283
Epoch 00010 | NCE 69.1517 | KOOP 0.0000 | τ 0.0709 | Total 69.1517
Epoch 00011 | NCE 67.8829 | KOOP 0.0000 | τ 0.0708 | Total 67.8829
Epoch 00012 | NCE 64.7238 | KOOP 0.0000 | τ 0.0706 | Total 64.7238
Epoch 00013 | NCE 51.8808 | KOOP 0.0000 | τ 0.0704 | Total 51.8808
Epoch 00014 | NCE 56.9196 | KOOP 0.0000 | τ 0.0702 | Total 56.9196
Epoch 00015 | NCE 53.3211 | KOOP 0.0000 | τ 0.0700 | Total 53.3211
Epoch 00016 | NCE 53.7087 | KOOP 0.0000 | τ 0.0697 | Total 53.7087
Epoch 00017 | NCE 49.2468 | KOOP 0.0000 | τ 0.0695 | Total 49.2468
Epoch 00018 | NCE 42.6520 | KOOP 0.0000 | τ 0.0693 | Total 42.6520
Epoch 00019 | NCE 49.1005 | KOOP 0.0000 | τ 0.0690 | Total 49.1005
Epoch 00020 | NCE 46.0456 | KOOP 0.0000 | τ 0.0688 | Total 46.0456
Epoch 00021 | NCE 41.6299 | KOOP 0.0000 | τ 0.0685 | Total 41.6299
Epoch 00022 | NCE 31.9394 | KOOP 0.0000 | τ 0.0682 | Total 31.9394
Epoch 00023 | NCE 41.1903 | KOOP 0.0000 | τ 0.0680 | Total 41.1903
Epoch 00024 | NCE 36.9502 | KOOP 0.0000 | τ 0.0677 | Total 36.9502
Epoch 00025 | NCE 35.0709 | KOOP 0.0000 | τ 0.0674 | Total 35.0709
Epoch 00026 | NCE 31.7206 | KOOP 0.0000 | τ 0.0671 | Total 31.7206
Epoch 00027 | NCE 30.8828 | KOOP 0.0000 | τ 0.0668 | Total 30.8828
Epoch 00028 | NCE 35.2717 | KOOP 0.0000 | τ 0.0665 | Total 35.2717
Epoch 00029 | NCE 30.4300 | KOOP 0.0000 | τ 0.0663 | Total 30.4300
Epoch 00030 | NCE 26.4384 | KOOP 0.0000 | τ 0.0660 | Total 26.4384
Epoch 00031 | NCE 21.2443 | KOOP 0.0000 | τ 0.0657 | Total 21.2443
Epoch 00032 | NCE 27.8095 | KOOP 0.0000 | τ 0.0654 | Total 27.8095
Epoch 00033 | NCE 29.5454 | KOOP 0.0000 | τ 0.0651 | Total 29.5454
Epoch 00034 | NCE 21.0198 | KOOP 0.0000 | τ 0.0648 | Total 21.0198
Epoch 00035 | NCE 28.8254 | KOOP 0.0000 | τ 0.0645 | Total 28.8254
Epoch 00036 | NCE 20.5800 | KOOP 0.0000 | τ 0.0642 | Total 20.5800
Epoch 00037 | NCE 25.0729 | KOOP 0.0000 | τ 0.0639 | Total 25.0729
Epoch 00038 | NCE 16.3402 | KOOP 0.0000 | τ 0.0636 | Total 16.3402
Epoch 00039 | NCE 15.6871 | KOOP 0.0000 | τ 0.0633 | Total 15.6871
Epoch 00040 | NCE 20.3406 | KOOP 0.0000 | τ 0.0631 | Total 20.3406
Epoch 00041 | NCE 16.2299 | KOOP 0.0000 | τ 0.0628 | Total 16.2299
Epoch 00042 | NCE 16.9719 | KOOP 0.0000 | τ 0.0625 | Total 16.9719
Epoch 00043 | NCE 16.0117 | KOOP 0.0000 | τ 0.0622 | Total 16.0117
Epoch 00044 | NCE 19.3663 | KOOP 0.0000 | τ 0.0619 | Total 19.3663
Epoch 00045 | NCE 16.3051 | KOOP 0.0000 | τ 0.0617 | Total 16.3051
Epoch 00046 | NCE 21.3171 | KOOP 0.0000 | τ 0.0614 | Total 21.3171
Epoch 00047 | NCE 19.2936 | KOOP 0.0000 | τ 0.0611 | Total 19.2936
Epoch 00048 | NCE 18.2338 | KOOP 0.0000 | τ 0.0609 | Total 18.2338
Epoch 00049 | NCE 19.6586 | KOOP 0.0000 | τ 0.0606 | Total 19.6586
Epoch 00050 | NCE 17.1228 | KOOP 0.0000 | τ 0.0604 | Total 17.1228
Epoch 00051 | NCE 20.5314 | KOOP 0.0000 | τ 0.0601 | Total 20.5314
Epoch 00052 | NCE 17.2156 | KOOP 0.0000 | τ 0.0599 | Total 17.2156
Epoch 00053 | NCE 14.4643 | KOOP 0.0000 | τ 0.0597 | Total 14.4643
Epoch 00054 | NCE 17.2863 | KOOP 0.0000 | τ 0.0594 | Total 17.2863
Epoch 00055 | NCE 14.4859 | KOOP 0.0000 | τ 0.0592 | Total 14.4859
Epoch 00056 | NCE 16.9191 | KOOP 0.0000 | τ 0.0590 | Total 16.9191
Epoch 00057 | NCE 16.2564 | KOOP 0.0000 | τ 0.0588 | Total 16.2564
Epoch 00058 | NCE 10.4906 | KOOP 0.0000 | τ 0.0585 | Total 10.4906
Epoch 00059 | NCE 11.1311 | KOOP 0.0000 | τ 0.0583 | Total 11.1311
Epoch 00060 | NCE 14.8880 | KOOP 0.0000 | τ 0.0581 | Total 14.8880
Epoch 00061 | NCE 17.9145 | KOOP 0.0000 | τ 0.0579 | Total 17.9145
Epoch 00062 | NCE 17.1541 | KOOP 0.0000 | τ 0.0577 | Total 17.1541
Epoch 00063 | NCE 15.2172 | KOOP 0.0000 | τ 0.0575 | Total 15.2172
Epoch 00064 | NCE 12.0764 | KOOP 0.0000 | τ 0.0573 | Total 12.0764
Epoch 00065 | NCE 17.1782 | KOOP 0.0000 | τ 0.0571 | Total 17.1782
Epoch 00066 | NCE 13.3999 | KOOP 0.0000 | τ 0.0569 | Total 13.3999
Epoch 00067 | NCE 16.4741 | KOOP 0.0000 | τ 0.0567 | Total 16.4741
Epoch 00068 | NCE 16.3966 | KOOP 0.0000 | τ 0.0565 | Total 16.3966
Epoch 00069 | NCE 12.2924 | KOOP 0.0000 | τ 0.0563 | Total 12.2924
Epoch 00070 | NCE 12.2683 | KOOP 0.0000 | τ 0.0562 | Total 12.2683
Epoch 00071 | NCE 9.9463 | KOOP 0.0000 | τ 0.0560 | Total 9.9463
Epoch 00072 | NCE 14.1271 | KOOP 0.0000 | τ 0.0558 | Total 14.1271
Epoch 00073 | NCE 7.1911 | KOOP 0.0000 | τ 0.0556 | Total 7.1911
Epoch 00074 | NCE 9.6761 | KOOP 0.0000 | τ 0.0555 | Total 9.6761
Epoch 00075 | NCE 12.7761 | KOOP 0.0000 | τ 0.0553 | Total 12.7761
Epoch 00076 | NCE 11.5920 | KOOP 0.0000 | τ 0.0551 | Total 11.5920
Epoch 00077 | NCE 12.1104 | KOOP 0.0000 | τ 0.0550 | Total 12.1104
Epoch 00078 | NCE 7.8580 | KOOP 0.0000 | τ 0.0548 | Total 7.8580
Epoch 00079 | NCE 10.7971 | KOOP 0.0000 | τ 0.0547 | Total 10.7971
Epoch 00080 | NCE 11.8380 | KOOP 0.0000 | τ 0.0545 | Total 11.8380
Epoch 00081 | NCE 11.0669 | KOOP 0.0000 | τ 0.0543 | Total 11.0669
Epoch 00082 | NCE 11.3430 | KOOP 0.0000 | τ 0.0542 | Total 11.3430
Epoch 00083 | NCE 12.4954 | KOOP 0.0000 | τ 0.0541 | Total 12.4954
Epoch 00084 | NCE 12.8801 | KOOP 0.0000 | τ 0.0539 | Total 12.8801
Epoch 00085 | NCE 11.7352 | KOOP 0.0000 | τ 0.0538 | Total 11.7352
Epoch 00086 | NCE 9.8699 | KOOP 0.0000 | τ 0.0537 | Total 9.8699
Epoch 00087 | NCE 7.1398 | KOOP 0.0000 | τ 0.0535 | Total 7.1398
Epoch 00088 | NCE 12.1856 | KOOP 0.0000 | τ 0.0534 | Total 12.1856
Epoch 00089 | NCE 9.9728 | KOOP 0.0000 | τ 0.0533 | Total 9.9728
Epoch 00090 | NCE 12.9662 | KOOP 0.0000 | τ 0.0531 | Total 12.9662
Epoch 00091 | NCE 9.1086 | KOOP 0.0000 | τ 0.0530 | Total 9.1086
Epoch 00092 | NCE 11.9850 | KOOP 0.0000 | τ 0.0529 | Total 11.9850
Epoch 00093 | NCE 10.1397 | KOOP 0.0000 | τ 0.0528 | Total 10.1397
Epoch 00094 | NCE 7.4461 | KOOP 0.0000 | τ 0.0527 | Total 7.4461
Epoch 00095 | NCE 12.0463 | KOOP 0.0000 | τ 0.0526 | Total 12.0463
Epoch 00096 | NCE 7.8217 | KOOP 0.0000 | τ 0.0525 | Total 7.8217
Epoch 00097 | NCE 9.2261 | KOOP 0.0000 | τ 0.0523 | Total 9.2261
