/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=24 dataset=tax51 task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (132524 nodes) → mini-batch sampler fanout=[20, 20]

[KAIROS] Backbone: gcn
Training 200 epochs | 5 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 125.1930 | KOOP 0.0000 | τ 0.5000 | Total 125.1930
Epoch 00001 | NCE 120.1326 | KOOP 0.0000 | τ 0.5000 | Total 120.1326
Epoch 00002 | NCE 116.1727 | KOOP 0.0000 | τ 0.5000 | Total 116.1727
Epoch 00003 | NCE 117.0458 | KOOP 0.0000 | τ 0.5000 | Total 117.0458
Epoch 00004 | NCE 113.2554 | KOOP 0.0000 | τ 0.5000 | Total 113.2554
Epoch 00005 | NCE 113.7324 | KOOP 0.0000 | τ 0.5000 | Total 113.7324
Epoch 00006 | NCE 107.2963 | KOOP 0.0000 | τ 0.5000 | Total 107.2963
Epoch 00007 | NCE 112.1222 | KOOP 0.0000 | τ 0.5000 | Total 112.1222
Epoch 00008 | NCE 107.6401 | KOOP 0.0000 | τ 0.5000 | Total 107.6401
Epoch 00009 | NCE 108.9474 | KOOP 0.0000 | τ 0.5000 | Total 108.9474
Epoch 00010 | NCE 108.1178 | KOOP 0.0000 | τ 0.5000 | Total 108.1178
Epoch 00011 | NCE 107.8505 | KOOP 0.0000 | τ 0.5000 | Total 107.8505
Epoch 00012 | NCE 103.4678 | KOOP 0.0000 | τ 0.5000 | Total 103.4678
Epoch 00013 | NCE 104.6318 | KOOP 0.0000 | τ 0.5000 | Total 104.6318
Epoch 00014 | NCE 105.3919 | KOOP 0.0000 | τ 0.5000 | Total 105.3919
Epoch 00015 | NCE 106.3035 | KOOP 0.0000 | τ 0.5000 | Total 106.3035
Epoch 00016 | NCE 103.1139 | KOOP 0.0000 | τ 0.5000 | Total 103.1139
Epoch 00017 | NCE 101.3254 | KOOP 0.0000 | τ 0.5000 | Total 101.3254
Epoch 00018 | NCE 105.3561 | KOOP 0.0000 | τ 0.5000 | Total 105.3561
Epoch 00019 | NCE 102.9839 | KOOP 0.0000 | τ 0.5000 | Total 102.9839
Epoch 00020 | NCE 105.1569 | KOOP 0.0000 | τ 0.5000 | Total 105.1569
Epoch 00021 | NCE 102.4095 | KOOP 0.0000 | τ 0.5000 | Total 102.4095
Epoch 00022 | NCE 103.6839 | KOOP 0.0000 | τ 0.5000 | Total 103.6839
Epoch 00023 | NCE 102.7881 | KOOP 0.0000 | τ 0.5000 | Total 102.7881
Epoch 00024 | NCE 103.2426 | KOOP 0.0000 | τ 0.5000 | Total 103.2426
Epoch 00025 | NCE 99.2812 | KOOP 0.0000 | τ 0.5000 | Total 99.2812
Epoch 00026 | NCE 102.3528 | KOOP 0.0000 | τ 0.5000 | Total 102.3528
Epoch 00027 | NCE 101.9068 | KOOP 0.0000 | τ 0.5000 | Total 101.9068
Epoch 00028 | NCE 98.6418 | KOOP 0.0000 | τ 0.5000 | Total 98.6418
Epoch 00029 | NCE 100.6880 | KOOP 0.0000 | τ 0.5000 | Total 100.6880
Epoch 00030 | NCE 98.7843 | KOOP 0.0000 | τ 0.5000 | Total 98.7843
Epoch 00031 | NCE 99.4063 | KOOP 0.0000 | τ 0.5000 | Total 99.4063
Epoch 00032 | NCE 99.9498 | KOOP 0.0000 | τ 0.5000 | Total 99.9498
Epoch 00033 | NCE 101.2664 | KOOP 0.0000 | τ 0.5000 | Total 101.2664
Epoch 00034 | NCE 98.4315 | KOOP 0.0000 | τ 0.5000 | Total 98.4315
