/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=13 dataset=tax51 task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (132524 nodes) → mini-batch sampler fanout=[20, 20]

[KAIROS] Backbone: h2gcn
Training 200 epochs | 5 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 119.8745 | KOOP 0.0000 | τ 0.5000 | Total 119.8745
Epoch 00001 | NCE 114.8382 | KOOP 0.0000 | τ 0.5000 | Total 114.8382
Epoch 00002 | NCE 112.5126 | KOOP 0.0000 | τ 0.5000 | Total 112.5126
Epoch 00003 | NCE 110.7462 | KOOP 0.0000 | τ 0.5000 | Total 110.7462
Epoch 00004 | NCE 108.3043 | KOOP 0.0000 | τ 0.5000 | Total 108.3043
Epoch 00005 | NCE 107.1800 | KOOP 0.0000 | τ 0.5000 | Total 107.1800
Epoch 00006 | NCE 107.0175 | KOOP 0.0000 | τ 0.5000 | Total 107.0175
Epoch 00007 | NCE 104.7097 | KOOP 0.0000 | τ 0.5000 | Total 104.7097
Epoch 00008 | NCE 103.7980 | KOOP 0.0000 | τ 0.5000 | Total 103.7980
Epoch 00009 | NCE 103.2055 | KOOP 0.0000 | τ 0.5000 | Total 103.2055
Epoch 00010 | NCE 101.1979 | KOOP 0.0000 | τ 0.5000 | Total 101.1979
Epoch 00011 | NCE 102.5427 | KOOP 0.0000 | τ 0.5000 | Total 102.5427
Epoch 00012 | NCE 101.1265 | KOOP 0.0000 | τ 0.5000 | Total 101.1265
Epoch 00013 | NCE 100.3937 | KOOP 0.0000 | τ 0.5000 | Total 100.3937
Epoch 00014 | NCE 99.4002 | KOOP 0.0000 | τ 0.5000 | Total 99.4002
Epoch 00015 | NCE 99.8068 | KOOP 0.0000 | τ 0.5000 | Total 99.8068
Epoch 00016 | NCE 100.3684 | KOOP 0.0000 | τ 0.5000 | Total 100.3684
Epoch 00017 | NCE 100.3835 | KOOP 0.0000 | τ 0.5000 | Total 100.3835
Epoch 00018 | NCE 100.1097 | KOOP 0.0000 | τ 0.5000 | Total 100.1097
Epoch 00019 | NCE 99.8391 | KOOP 0.0000 | τ 0.5000 | Total 99.8391
Epoch 00020 | NCE 99.3982 | KOOP 0.0000 | τ 0.5000 | Total 99.3982
Epoch 00021 | NCE 97.6993 | KOOP 0.0000 | τ 0.5000 | Total 97.6993
Epoch 00022 | NCE 97.5957 | KOOP 0.0000 | τ 0.5000 | Total 97.5957
Epoch 00023 | NCE 99.0082 | KOOP 0.0000 | τ 0.5000 | Total 99.0082
Epoch 00024 | NCE 97.8723 | KOOP 0.0000 | τ 0.5000 | Total 97.8723
Epoch 00025 | NCE 97.8666 | KOOP 0.0000 | τ 0.5000 | Total 97.8666
Epoch 00026 | NCE 98.3796 | KOOP 0.0000 | τ 0.5000 | Total 98.3796
Epoch 00027 | NCE 97.3491 | KOOP 0.0000 | τ 0.5000 | Total 97.3491
Epoch 00028 | NCE 98.0384 | KOOP 0.0000 | τ 0.5000 | Total 98.0384
Epoch 00029 | NCE 97.7403 | KOOP 0.0000 | τ 0.5000 | Total 97.7403
Epoch 00030 | NCE 97.0218 | KOOP 0.0000 | τ 0.5000 | Total 97.0218
Epoch 00031 | NCE 97.0918 | KOOP 0.0000 | τ 0.5000 | Total 97.0918
Epoch 00032 | NCE 96.9951 | KOOP 0.0000 | τ 0.5000 | Total 96.9951
Epoch 00033 | NCE 96.0110 | KOOP 0.0000 | τ 0.5000 | Total 96.0110
Epoch 00034 | NCE 96.0376 | KOOP 0.0000 | τ 0.5000 | Total 96.0376
Epoch 00035 | NCE 97.1038 | KOOP 0.0000 | τ 0.5000 | Total 97.1038
Epoch 00036 | NCE 96.9006 | KOOP 0.0000 | τ 0.5000 | Total 96.9006
Epoch 00037 | NCE 97.2327 | KOOP 0.0000 | τ 0.5000 | Total 97.2327
Epoch 00038 | NCE 96.5287 | KOOP 0.0000 | τ 0.5000 | Total 96.5287
Epoch 00039 | NCE 96.6882 | KOOP 0.0000 | τ 0.5000 | Total 96.6882
