/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=42 dataset=tax51 task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Large graph (132524 nodes) → mini-batch sampler fanout=[20, 20]

[KAIROS] Backbone: sage
Training 200 epochs | 5 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 120.1483 | KOOP 0.0000 | τ 0.5000 | Total 120.1483
Epoch 00001 | NCE 117.7596 | KOOP 0.0000 | τ 0.5000 | Total 117.7596
Epoch 00002 | NCE 112.5747 | KOOP 0.0000 | τ 0.5000 | Total 112.5747
Epoch 00003 | NCE 113.1609 | KOOP 0.0000 | τ 0.5000 | Total 113.1609
Epoch 00004 | NCE 113.7562 | KOOP 0.0000 | τ 0.5000 | Total 113.7562
Epoch 00005 | NCE 110.4938 | KOOP 0.0000 | τ 0.5000 | Total 110.4938
Epoch 00006 | NCE 112.4686 | KOOP 0.0000 | τ 0.5000 | Total 112.4686
Epoch 00007 | NCE 108.4374 | KOOP 0.0000 | τ 0.5000 | Total 108.4374
Epoch 00008 | NCE 105.7078 | KOOP 0.0000 | τ 0.5000 | Total 105.7078
Epoch 00009 | NCE 106.0564 | KOOP 0.0000 | τ 0.5000 | Total 106.0564
Epoch 00010 | NCE 107.2901 | KOOP 0.0000 | τ 0.5000 | Total 107.2901
Epoch 00011 | NCE 107.4576 | KOOP 0.0000 | τ 0.5000 | Total 107.4576
Epoch 00012 | NCE 103.3324 | KOOP 0.0000 | τ 0.5000 | Total 103.3324
Epoch 00013 | NCE 102.8578 | KOOP 0.0000 | τ 0.5000 | Total 102.8578
Epoch 00014 | NCE 103.9784 | KOOP 0.0000 | τ 0.5000 | Total 103.9784
Epoch 00015 | NCE 101.3492 | KOOP 0.0000 | τ 0.5000 | Total 101.3492
Epoch 00016 | NCE 102.3650 | KOOP 0.0000 | τ 0.5000 | Total 102.3650
Epoch 00017 | NCE 101.9217 | KOOP 0.0000 | τ 0.5000 | Total 101.9217
Epoch 00018 | NCE 99.8507 | KOOP 0.0000 | τ 0.5000 | Total 99.8507
Epoch 00019 | NCE 102.5662 | KOOP 0.0000 | τ 0.5000 | Total 102.5662
Epoch 00020 | NCE 102.3792 | KOOP 0.0000 | τ 0.5000 | Total 102.3792
Epoch 00021 | NCE 101.4954 | KOOP 0.0000 | τ 0.5000 | Total 101.4954
Epoch 00022 | NCE 101.7422 | KOOP 0.0000 | τ 0.5000 | Total 101.7422
Epoch 00023 | NCE 98.5590 | KOOP 0.0000 | τ 0.5000 | Total 98.5590
Epoch 00024 | NCE 100.9068 | KOOP 0.0000 | τ 0.5000 | Total 100.9068
Epoch 00025 | NCE 98.9252 | KOOP 0.0000 | τ 0.5000 | Total 98.9252
Epoch 00026 | NCE 97.9247 | KOOP 0.0000 | τ 0.5000 | Total 97.9247
Epoch 00027 | NCE 99.3979 | KOOP 0.0000 | τ 0.5000 | Total 99.3979
Epoch 00028 | NCE 100.2655 | KOOP 0.0000 | τ 0.5000 | Total 100.2655
Epoch 00029 | NCE 99.0743 | KOOP 0.0000 | τ 0.5000 | Total 99.0743
Epoch 00030 | NCE 97.4821 | KOOP 0.0000 | τ 0.5000 | Total 97.4821
Epoch 00031 | NCE 98.6539 | KOOP 0.0000 | τ 0.5000 | Total 98.6539
